,Unnamed: 0,index,tweet,id,lang,score,evidence,claim,procon,arg_type,evidence_type,topic,argumentative
859,859.0,5038,"shares and almost 10% of Twitter shares. After paying taxes for 2021, it will become the largest private taxpayer in the United States ($11 billion). The businessman opened his first business in 1995 (then it was the company Zip2) for the production of software for the",1.511382784333566e+18,en,0.0,0.0,0.0,0.0,,,,
362,362.0,8787,<MENTION> <MENTION> <MENTION> By their own admission energy companys are putting profits for shareholders over more production creating a false supply and demand problem. Just to add more to the $60 billion in their coffers now! You got a beef with the republicans helping these bastards not the POTUS.,1.5106246145562542e+18,en,0.0,0.0,0.0,0.0,,,,
304,304.0,21526,"<MENTION> <MENTION> <MENTION> ""Vegetable Rights And Peace!""",1.5119407148710748e+18,en,0.0,0.0,0.0,0.0,,,,
949,949.0,26625,<MENTION> <MENTION> <MENTION> It’s my mother’s. I’m the only vegan in my house hold. I use algae based omega 3 supplements.,1.5119492457498583e+18,en,0.0,0.0,0.0,0.0,,,,
49,49.0,22550,"<MENTION> Great tips! This was actually my first foray into onion soup, but I was short on time so went with an InstaPot recipe, which was a bit quicker (80 minutes-ish). Went with a red ale instead of wine - it was quite good! will do a slow cook on the onions next time :)",1.5117243558348595e+18,en,0.0,0.0,0.0,0.0,,,,
112,112.0,20286,"It's kind of unbelievable that some places - where they're know about food etc. - don't understand how to make tea. Please, stop destroying green tea with 100 degree boiling water. 80 degrees, tops.",1.5106702175250145e+18,en,0.0,0.0,0.0,0.0,,,,
69,,40,"<MENTION> <MENTION> <MENTION> <MENTION> That is nothing that the carbon tax was introduced for. 

So cancel it and change to something else to actually help the environment.",1.51179697351014e+18,en,0.7347560524940491,1.0,1.0,-1.0,implicit,normative,We should add a carbon tax to food production,1
253,253.0,26304,<MENTION> This sucks. I can't imagine anyone vegan or not would have a go at you because of an allergy!,1.5119834543674e+18,en,0.6594560742378235,0.0,0.0,0.0,,,,
485,485.0,12988,"When talking about plant-based meat alternatives I think there is a key issue to consider: processing. 

These new foods are highly/ultra processed foods because they are designed to resemble their meat counterparts.

But are these foods unhealthy then? A 🧵",1.511840219997393e+18,en,0.5787020921707153,0.0,0.0,0.0,,,,
851,851.0,15631,<MENTION> Are you vegan or vegetarian ???,1.511015763758379e+18,en,0.7608424425125122,0.0,0.0,0.0,,,,
274,274.0,13890,<MENTION> Anti-inflammation and hormone optimization diets? Eat plant based but god forbid it has soy!,1.5117377372374794e+18,en,0.0,0.0,0.0,0.0,,,,
175,,30781,"I have no problem with one choosing a plant based diet. However, I do feel that the current trend of investing more in plant-based foods by Big Food Companies is mistaken. Many are starting to see the benefit of meat-only or high protein diets and ignoring such a trend...",1.509766859268272e+18,en,0.5710253119468689,1.0,1.0,-1.0,explicit,normative,Plant based food should be subsidized,1
364,364.0,13794,At some point it’s just healthier to have the actual non vegan foods than that lab made “plant based” bullshit that my stomach can’t digest lmao,1.5117718142963753e+18,en,0.0,0.0,0.0,0.0,,,,
5,5.0,26182,<MENTION> <MENTION> <MENTION> <MENTION> amou bestie,1.5119994347621622e+18,en,0.0,0.0,0.0,0.0,,,,
737,737.0,32844,<MENTION> I went flexitarian- it’s much easier to be able to eat meat every so often if you feel like it. I’m doing like 90% veg,1.5091444947378708e+18,en,0.6048505306243896,0.0,0.0,0.0,,,,
38,38.0,15323,"<MENTION> It can be, but it is incredibly difficult to get all the nutrients and almost every vegan is severely lacking in certain nutrients. it’s also more environmentally sustainable
A lacto-ovo vegetarian or pescatarian diet is probably the healthiest/most effective",1.5114315150492426e+18,en,0.6692116260528564,0.0,0.0,0.0,,,,
73,,15778,Vegetarian maybe but not vegan,1.5107054793196997e+18,en,0.7717621922492981,0.0,1.0,1.0,explicit,,Vegetarian and vegan diets should be discouraged,1
490,490.0,26092,<MENTION> <MENTION> Are you a vegan then?,1.5120093176287478e+18,en,0.6810880303382874,0.0,0.0,0.0,,,,
601,601.0,19202,"There is never an excuse for a dirty, smelly beard. I'm not the greatest groomer, but I wash mine regularly. No bits of food in it or anything like that.",1.512008382911234e+18,en,0.0,0.0,0.0,0.0,,,,
482,482.0,4757,<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> did 3 years ago and took almost a year longer&amp;many of these permits won’t yield enough production to warrant drilling at increased costs between the increased cost of carbon and the other price increases. Many of these operations operate on tight margins as it was before. End🧵,1.5103670107981537e+18,en,0.0,0.0,0.0,0.0,,,,
353,353.0,15658,<MENTION> <MENTION> Wow! Glad you are okay!Are you vegan or vegetarian by any chance?,1.5109617493732065e+18,en,0.7059216499328613,0.0,0.0,0.0,,,,
47,,16421,Fruits or vegetables? And why,1.5117869710138204e+18,en,0.6462593078613281,0.0,0.0,0.0,,,We should discourage fruits and vegetable consumption,0
119,119.0,20695,Today is the day that we dispel all the myths and misinformation about anti-natalism and veganism.,1.5117225767998382e+18,en,0.0,0.0,0.0,0.0,,,,
374,374.0,2463,"Every year 185,000 people have amputations for a limb. Of the people who buy prosthetics, 35% abandon them because it doesn't meet their needs. Prosthetics need to stay relevant in order to increase the development advancement of this production. 🦿🦾😀",1.5118512446960927e+18,en,0.0,0.0,0.0,0.0,,,,
804,804.0,26557,<MENTION> My reason for becomming a vegan.,1.5119569435936315e+18,en,0.7419773936271667,0.0,0.0,0.0,,,,
400,400.0,3228,"Hillary Clinton on NBC's ""Meet the Press: I was disappointed with Saudi Arabia's decision not to increase oil production, and we should use carrots and sticks with it because we live in an existential crisis.""
#saudia #Russian #Ukraine #Kyiv #China #USA",1.5110511746775532e+18,en,0.0,0.0,0.0,0.0,,,,
441,441.0,14833,"<MENTION> <MENTION> If it’s one thing I don’t care about it’s what white folk think. And if any white person tries to handle you a certain way based on what a millionaire did at an elite award ceremony, U should give them your ass to kiss. I’m not invested in proving my humanity to yt ppl in 2022.",1.5093139021143982e+18,en,0.0,0.0,0.0,0.0,,,,
500,500.0,31974,My baby wanted seafood &amp; Whole Foods ain’t have not a crab leg 🙄,1.5118670958642913e+18,en,0.0,0.0,0.0,0.0,,,,
39,39.0,15823,"<MENTION> <MENTION> Well, each to its own. Bottom line, as you said, remain vegetarian. At least people should eat largely vegetarian diet. I cook everything but remain vegetarian though not vegan.",1.5106596690979185e+18,en,0.7175512313842773,0.0,0.0,0.0,,,,
599,599.0,30206,<MENTION> /plant based diet for those 30 days,1.5114943119171092e+18,en,0.5742387175559998,0.0,0.0,0.0,,,,
447,447.0,988,"<MENTION> <MENTION> Okay, istead of subsidizing families, we can cut taxes so 25-30% of people’s income aren’t being used to fund bullshit that doesnt do anyone any good and we can stop 6% social security tax cause thats not sustainable.",1.5116711650556436e+18,en,0.0,0.0,0.0,0.0,,,,
793,793.0,4286,"<MENTION> 2/2
…Moderate reductions in milk and meat consumption could push the reduction to 30 million hectares. Spared land could be used to restore more carbon and biodiversity in Europe and/or save forests abroad.”",1.5114975514045809e+18,en,0.0,0.0,0.0,0.0,,,,
779,779.0,20617,"<MENTION> The biggest barrier to veganism for me wouldn't be giving up meat, it would be giving up one of my greatest food loves - cheese.",1.5117708959745516e+18,en,0.5218421816825867,0.0,0.0,0.0,,,,
59,,7,<MENTION> Do you know about Balance of Nature?  It's a high powered fruit and vegetable pills.  Fruits and veggies have 2 different pills.  I have it listed on my other profile <MENTION> If interested.  May help the pain.,1.509207017847722e+18,en,0.0,0.0,0.0,0.0,unrelated,,We should exempt meat production from carbon taxes,1
525,525.0,31457,"<MENTION> My dad has always been a health nut, was a wrestler and into weight lifting back in the day..he always says any diet that tells you to totally exclude a food group is a red flag. You can be healthy and eat normal!",1.5106335183591055e+18,en,0.0,0.0,0.0,0.0,,,,
245,245.0,22700,<MENTION> I gen need a good coffee recipe for my fucking sweet tooth 😭 I absolutely CANNOT have black coffee,1.5115393120971205e+18,en,0.0,0.0,0.0,0.0,,,,
746,746.0,21158,<MENTION> What is it about creating a meat substitute that constitutes not committing to the path you've chosen as a vegan? Do you think veganism is just when you hate meat or something?,1.5113534420228751e+18,en,0.5428842306137085,0.0,0.0,0.0,,,,
177,,2268,<MENTION> The U.S. could start with no longer subsidizing meat and dairy. That would be a move in the right direction. And also start subsidizing mobile farmers markets with organic produce in food deserts! 🥕 🥬 🍅,1.5100744547931054e+18,en,0.5511068105697632,1.0,1.0,1.0,explicit,fact,We should subsidize green nutrition,1
177,177.0,2204,"<MENTION> <MENTION> <MENTION> <MENTION> Loudspeakers must be banned, open selling of meat, display of meat food bad,govts must prevent, stop pushcart vendors encroaching roads streets selling of poor quality vegitables fruits bad",1.5112631371141202e+18,en,0.0,0.0,0.0,0.0,,,,
456,456.0,13732,<MENTION> Plant based products are not in my future. I want real meat. Cows are not a big influence on climate issues. People are the biggest influence.,1.5117913705493094e+18,en,0.5375898480415344,0.0,0.0,0.0,,,,
385,385.0,27649,"<MENTION> <MENTION> If it's a movie that targets pre-teens, sure, I'd rather there not be. If it's not gay for the sake of gay ideology, which we have video of them saying is the case. If it's organic and not forced.",1.5119244391217316e+18,en,0.0,0.0,0.0,0.0,,,,
631,631.0,13926,<MENTION> <MENTION> Not looking for a resource. I am looking for what *you* specifically consider the single strongest research result supporting the claim that a 100% plant-based diet provides adequate nutrition for human health. One single best research result in *your* opinion.,1.5117271247675597e+18,en,0.5058789849281311,0.0,0.0,0.0,,,,
844,844.0,28884,"Meat doesn't get more free range than game.

If you're looking for sustainable, delicious and nutritious produce which can help boost our food security - why not try game meat?

If you've never eaten it, now is the perfect time to give it a go!",1.5113195287681595e+18,en,0.6365348100662231,0.0,0.0,0.0,,,,
139,139.0,30467,<MENTION> <MENTION> Some athletes are equally good with a plant based diet lol,1.5108343240141865e+18,en,0.5304193496704102,0.0,0.0,0.0,,,,
542,542.0,20391,"<MENTION> I’m assuming that now you’ve corrected your position on guns and have come to the only logical conclusion: veganism, abortion and guns are good",1.5119087061156372e+18,en,0.0,0.0,0.0,0.0,,,,
64,,4306,<MENTION> are you even remotely aware how much carbon emissions meat diets are responsible for? Its stupid to be a non vegetarian,1.511326209158058e+18,en,0.6852447986602783,1.0,1.0,-1.0,implicit,normative,We should exempt meat production from carbon taxes,1
740,740.0,23417,"Juice recipe idea : 
- papaya (with seeds) 
- pineapple 
- celery
- grapes
- ginger 
- oranges 
- lemon 

Keep your heart &amp; gut healthy | 🤍✨",1.509316459385684e+18,en,0.0,0.0,0.0,0.0,,,,
933,933.0,3134,"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> They are talking about increasing 60,000 more barrels which is literally almost nothing. They can’t just magically increase production like that. The problem came when we started to shut down things that we were already making to increase production, and other shit.",1.5111406292497244e+18,en,0.0,0.0,0.0,0.0,,,,
227,227.0,18904,"<MENTION> <MENTION> <MENTION> You a cold blooded killer my dude. Respect, cause I know after you left from taking his food you felt 10 feet tall 😂💯",1.512010004378927e+18,en,0.0,0.0,0.0,0.0,,,,
138,,20209,<MENTION> I thought you were going to say in light of food shortage Biden says we would all be getting a ration of Soylent Green..,1.5107750036665958e+18,en,0.6200248003005981,0.0,0.0,0.0,,,We should subsidize green nutrition,lacks context
628,628.0,26170,"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> I watch it every year at least once! Ah thank you, I live in hope of a vegan warrior...",1.5120010550553928e+18,en,0.0,0.0,0.0,0.0,,,,
252,252.0,3356,"<MENTION> If not that, then we should increase welfare requirements so much that the price of meat skyrockets and people are financially forced to move to non-meat alternatives.",1.5117975999757558e+18,en,0.7243049740791321,0.0,0.0,0.0,,,,
530,530.0,3814,"<MENTION> <MENTION> <MENTION> Actually it would, because meat cut straight from a carcass doesn't have all the additives that meat production factories use.",1.5099538702056366e+18,en,0.5416935682296753,0.0,0.0,0.0,,,,
633,633.0,25669,"<MENTION> <MENTION> <MENTION> <MENTION> I'm a vegetarian, no worries.",1.5118857033571164e+18,en,0.6685717105865479,0.0,0.0,0.0,,,,
467,467.0,30023,okay um at this point seoul has better meat alternative options than where I am living in Canada what the fuck there are PAGES of it,1.5113232985457705e+18,en,0.5487021207809448,0.0,0.0,0.0,,,,
999,999.0,31666,<MENTION> <MENTION> I have a grandson with Asperger’s &amp; fussy about food/eating. We place regular healthy snacks alongside him when he is playing or reading. Grate veggies in stews. Add cricket protein powder to soup &amp; smoothies as he doesn’t eat much meat. We try to be very blasé about it.,1.5102028478285455e+18,en,0.0,0.0,0.0,0.0,,,,
14,14.0,7573,"<MENTION> Walahi 😂 
Event planner plus hall na like 4 million 
And them never add food and drinks 

love don’t a dime na Fortune ee cost 🌚",1.5119491561301115e+18,en,0.0,0.0,0.0,0.0,,,,
105,,10209,<MENTION> wen carbon tax on food in Germany?,1.5107410146584863e+18,en,0.6582658290863037,0.0,0.0,0.0,,,We should exempt meat production from carbon taxes,0
416,416.0,13123,"<MENTION> <MENTION> I study in punjab (Gurdaspur) and more then 80% meat here is jhatka even In my college (which is government) jhatka meat is served 
And we don't have any issue we just don't eat meat and go for veg alternatives or try to buy live chicken from butcher",1.5107535659373855e+18,en,0.5992733240127563,0.0,0.0,0.0,,,,
777,777.0,15330,Can anybody confirm if its true? <MENTION> <MENTION> and <MENTION> are all either vegetarian or vegan?  We need more!,1.5114258696253235e+18,en,0.6599472165107727,0.0,0.0,0.0,,,,
778,778.0,26720,maybe i’ll just be a vegan on weekdays. does that count,1.511940006880895e+18,en,0.0,0.0,0.0,0.0,,,,
6,6.0,30886,<MENTION> I sure hope they include the significant environmental benefits of eating a plant-based diet. 🌱,1.50925305594615e+18,en,0.62995845079422,0.0,0.0,0.0,,,,
909,909.0,3472,"<MENTION> <MENTION> And we might, as a bi-product, have a big increase in the supply of meat with a resultant drop in price.   Seems like a win/win to me.",1.510489819197186e+18,en,0.6524665355682373,0.0,0.0,0.0,,,,
1,,57,<MENTION> <MENTION> <MENTION> Switch to plant based diets to reduce food costs and benefit climate,1.5116599217496678e+18,en,0.6331568956375122,1.0,1.0,1.0,explicit,fact,We should encourage more fruits and vegetable consumption,1
193,193.0,30031,"<MENTION> Food is a necessity. 
Meat is has an alternative..

And ur mind has nothing from above😂",1.5112092039057367e+18,en,0.5979807376861572,0.0,0.0,0.0,,,,
401,401.0,15740,"<MENTION> <MENTION> I think I heard that somewhere too that eventually it will all be vegan, no more vegetarian.",1.5107672123317412e+18,en,0.715950608253479,0.0,0.0,0.0,,,,
487,487.0,13485,"<MENTION> I don't like fruit much, or many veg so a plant based diet is going to be a challenge. I've always thought fruit = fructose = ⬆️ fatty liver = diabetes.",1.5118691245566935e+18,en,0.5724489092826843,0.0,0.0,0.0,,,,
499,499.0,15105,"The more of you that become vegans, the less I need to worry about steak &amp; egg shortages. I won't convince you anyway. Thanks for your sacrifice. #vegan #vegetarian #carnivore",1.511775562255278e+18,en,0.0,0.0,0.0,0.0,,,,
935,935.0,24539,"If I respond to an adversary –or someone I think is an adversary– with Mercy and Kindness, I have emulated God.

But if I respond with hostility and it’s kind of fruit; bitterness, ill-feeling, I have emulated pagans who are ruled by the devil… This is literally what Jesus says!",1.512002375422251e+18,en,0.0,0.0,0.0,0.0,,,,
71,,13964,"<MENTION> Its likely the plant based alternatives will soar in price too. The crops need expensive fertiliser, expensive transportation and expensive processing. There may be a short time lag as these costs will affect the crops going into the ground now.",1.5117144642608865e+18,en,0.6462411880493164,0.0,0.0,0.0,unrelated,,We should invest in more plant based food production,1
964,964.0,31697,"All hindu plp
See this post surely

Those who want to eat with out halal food 
Go and eat 
With out halal is not healthy for human 

So don't created tense suitation by telling ban halal
BCz  of you cheap plp india is going down
We Muslim also eating in hindu restuarant also  (1)",1.510085369290629e+18,en,0.0,0.0,0.0,0.0,,,,
30,30.0,13300,<MENTION> <MENTION> <MENTION> Go plant based,1.5119846231438582e+18,en,0.50992351770401,0.0,0.0,0.0,,,,
789,789.0,26715,<MENTION> <MENTION> Chorizo and paella is an anatema. If I eliminate chicken I could do a vegan paella Liz 😁😁😁,1.5119404697475932e+18,en,0.0,0.0,0.0,0.0,,,,
176,176.0,15639,<MENTION> <MENTION> <MENTION> Start with yourself. Stop consuming meat. If you are confident that you are vegetarian/vegan then share your experience with others.,1.510995712003117e+18,en,0.5230332612991333,0.0,0.0,0.0,,,,
126,126.0,16825,"<MENTION> All vegetables have a coating of pesticides and chemicals which is poisonous to the human system. No farmer grows vegetables, fruits and flowers without using pesticides and chemicals. The label organic vegetables is just a dream like our PM's election promises!",1.5113814715162624e+18,en,0.506369948387146,0.0,0.0,0.0,,,,
483,483.0,1610,"<MENTION> You want people to eat healthier. So manufacturers need to STOP putting sugar in food. Why do we NEED added sugar in fresh meat?

And STOP putting sodium nitrite and sodium polyphosphate in food - They will POISON you just for getting them on your skin!",1.5116767234856837e+18,en,0.5131790637969971,0.0,0.0,0.0,,,,
169,169.0,27710,Don't panic it's organic😎,1.5119153170519286e+18,en,0.0,0.0,0.0,0.0,,,,
877,877.0,1628,<MENTION> We once had a househelp who advised my mother to stop giving us food regularly so we can be prepared for tough times. Never mind that the fanciest food we ate was normal meat from the local butcher.,1.5116623137865523e+18,en,0.5512465238571167,0.0,0.0,0.0,,,,
958,958.0,17185,"<MENTION> <MENTION> I agree that we should eliminate as many processed foods from our diet and increase our consumption of vegetables, fruits, nuts, seeds, and lean proteins.  But what many are missing is the value of exercise.  If you eat healthier and exercise regularly the weight will come off.",1.5109751211456676e+18,en,0.5230758190155029,0.0,0.0,0.0,,,,
170,,2261,"<MENTION> <MENTION> <MENTION> If we stop buying the meat excessively, they will stop producing excessively.

We as consumers have power.",1.5112178704406528e+18,en,0.7405656576156616,1.0,1.0,-1.0,implicit,normative,We have to increase production of meat,1
995,995.0,14162,<MENTION> Meat eating is highly immoral ecologically unsustainable highly educated people around the world are moving towards plant based diet India should ban meat eating,1.5116140457111183e+18,en,0.6133173108100891,0.0,0.0,0.0,,,,
550,550.0,15569,"Why does it seem like every person in my office is vegan, vegetarian, gluten free, you name it.

It’s almost like it’s part of being a geed",1.511086271506047e+18,en,0.0,0.0,0.0,0.0,,,,
987,987.0,2403,<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> The cynical reality is that a ban on coal from Russia is accompanied by an increase in demand for gas. We use gas to produce electricity as well. You can use coal or gas for the production of electric as an alternative to green energy sources. We don't have enough green energy.,1.511934048154837e+18,en,0.0,0.0,0.0,0.0,,,,
730,730.0,15519,"realised lots of ppl don’t understand that to eat a vegetarian or vegan diet, u need to take b12 vitamins since ur not eating meat anymore",1.5111684420946534e+18,en,0.0,0.0,0.0,0.0,,,,
828,828.0,8528,"<MENTION> <MENTION> That’s rich, your Democrat ran administration put this country in this position by reckless spending and stopping our own oil production. As flatiron rises you have no plan but to add another 5 trillion to the mess you created. Time for change, we’re bankrupt!!",1.5119887222412657e+18,en,0.0,0.0,0.0,0.0,,,,
182,182.0,19580,best comfort food award goes to cookies n cream and green piattos!,1.51168337575689e+18,en,0.0,0.0,0.0,0.0,,,,
51,51.0,32255,DEAL OF THE DAY: teenage pregnancy from Whole Foods with free shipping!,1.5117509119194726e+18,en,0.0,0.0,0.0,0.0,,,,
980,980.0,30936,<MENTION> Don't even try. Change to a healthier whole food plant based diet and your body adjusts in the time needed.,1.5090973998846034e+18,en,0.5463992357254028,0.0,0.0,0.0,,,,
910,910.0,15935,"<MENTION> i agree! 

i used to eat ranch w/ everything when i was vegetarian so this has replaced ranch for me since i’m vegan now lol",1.5104249948028068e+18,en,0.6737721562385559,0.0,0.0,0.0,,,,
763,763.0,30607,"<MENTION> <MENTION> <MENTION> It might sound like it but that is not true. Scientifically, it has been proven that the area of land required to sustain human population using livestock is far greater than the area of land required to sustain just on plant-based diet",1.510306876419846e+18,en,0.520217776298523,0.0,0.0,0.0,,,,
775,775.0,3217,<MENTION> Most are. The oil tycoons don't want to increase production because they like the high barrel cost. Producing will lower the price. They will not leave any money on the table.,1.5110600695841546e+18,en,0.0,0.0,0.0,0.0,,,,
845,845.0,25037,"Fly two first, form divided us evening fruit bearing blessed heaven evening fly. Image third them morning winged fly every together two created divided of blessed won't whales us image signs them his divide so kind light unto bearing it bearing which sea so let les",1.511979030672728e+18,en,0.0,0.0,0.0,0.0,,,,
18,18.0,12720,"<MENTION> Whelp. Reading this thread, y’all are right and y’all are wrong. We need to change the paradigm that industrial ag is the saviour and answer. We need to reduce food miles, bring production local, start reducing the reliance on export/import.  /1",1.5111650848312648e+18,en,0.5246211290359497,0.0,0.0,0.0,,,,
904,904.0,17091,"<MENTION> She always lying bout stupid things unprovoked. Lie say she never have a tv, she never had cake, she allergic to fruits and vegetables yet in a article she say love salads..mad gyal",1.511051960773972e+18,en,0.0,0.0,0.0,0.0,,,,
286,286.0,22733,"<MENTION> It’s pretty good, although the recipe called for fire roasting a poblano on a gas stove, but the closest I could get was my broiler. Next time I’d use more poblano, and maybe also throw some other peppers in there for some more spice.",1.5115175792395835e+18,en,0.0,0.0,0.0,0.0,,,,
98,,73,"<MENTION> <MENTION> <MENTION> I mostly get meat at whole foods. The min/max between humane treatment and shipping and environmental impact is good for local meats. 

Veggies and fruits, I agree; every one is different.",1.5117486750679572e+18,en,0.7115838527679443,0.0,0.0,0.0,unrelated,,Meat alternatives should be encouraged,1
822,822.0,12382,"This urge must be resisted globally. 

Why, because biodiversity is critical *everywhere*.

Without it, the ecosystems that we depend on, including for food production, cannot function and lack resilience (threatening food security). 2/",1.511629184145281e+18,en,0.0,0.0,0.0,0.0,,,,
583,583.0,29749,"<MENTION> Ya it’s true! And I mostly eat the veggies and whole grains, nuts, etc., not much ‘made for #vegans’ foods. I did eat meat for 25 years tho and loved bacon. We do it because we want reduce animal suffering. That’s the entire drive. Fake bacon exists to replace real pigs",1.509491497535783e+18,en,0.681505560874939,0.0,0.0,0.0,,,,
710,710.0,30861,"<MENTION> <MENTION> <MENTION> <MENTION> I've noticed it's a tired argument only to those who can afford a vegan diet. As I said, plant based food parity should be the focus, not shaming those who eat based on affordability and/ or  cultural significance.",1.5093274375485153e+18,en,0.6653796434402466,0.0,0.0,0.0,,,,
433,433.0,28936,"<MENTION> <MENTION> <MENTION> Also, just read from Sustainable Food Trust page that we aren't getting all the nutrients we could out of water waste. I'm sure there are scientists working on solutions to this. There's environmental, health &amp; ethical reasons against meat - a lot of reason for them to research.",1.5102020700239462e+18,en,0.6691603660583496,0.0,0.0,0.0,,,,
135,135.0,15453,<MENTION> <MENTION> It's honestly too much to be doing at home but at a vegetarian or vegan restaurant I would try it.,1.5113212782124485e+18,en,0.668196439743042,0.0,0.0,0.0,,,,
236,236.0,1452,"<MENTION> <MENTION> ""bizarre purity test""? Stop this bs. OK? I did not say that vegans cannot or should not eat their stuff. I said they target mainly meat eaters and that is true! end.",1.5117910129513472e+18,en,0.6609769463539124,0.0,0.0,0.0,,,,
884,884.0,30494,"<MENTION> <MENTION> Ahaha you can find just as much if not more in plant based diet 😄. Or if your taste buds really can't let the taste of meat go, you can always go for lab developed meat",1.5107111200210985e+18,en,0.545450747013092,0.0,0.0,0.0,,,,
521,521.0,30597,<MENTION> Good point about the poor chickens 😭  that's why I support plant based diet 🌿,1.5103417543014728e+18,en,0.5741808414459229,0.0,0.0,0.0,,,,
538,538.0,13982,"<MENTION> I see! That’s good for your health too😆
If I could I’d be plant-based but I’m a fox… sadge",1.5117067699782e+18,en,0.5134055614471436,0.0,0.0,0.0,,,,
477,477.0,11973,<MENTION> Love  RI. Tax credits for 30% of the cost but the production company doesn’t make money 💰 in RI so they can’t use the credit.,1.509557803278553e+18,en,0.0,0.0,0.0,0.0,,,,
387,387.0,29988,<MENTION> <MENTION> Unfortunately there are a lot of folks that think highly processed veggie burgers and soy products are a more healthy alternative to meat.  Ideally all foods would be non-processed or minimally processed.  You don't need to be a dietician to know this.,1.51177480673946e+18,en,0.5839859247207642,0.0,0.0,0.0,,,,
495,495.0,15601,<MENTION> I'm not vegetarian or vegan but find wild people are shocked by such revelations,1.5110446694170952e+18,en,0.0,0.0,0.0,0.0,,,,
768,768.0,13737,"<MENTION> I'm a vegetarian and I like plant based meat, but to each his own right?",1.5117902195230966e+18,en,0.5588893294334412,0.0,0.0,0.0,,,,
72,,19333,just ate my body weight in food for imsak and i need to shit right now bc there absolutely no way i am going to school being this bloated,1.5120074660825252e+18,en,0.0,0.0,0.0,0.0,unrelated,,We have to increase production of meat,1
114,114.0,16801,"<MENTION> Thank you, I do eat vegetables, fruits as well. And drink a lot of water. Getting there. Loosing a bit of weight, as was before starting",1.511405869619196e+18,en,0.0,0.0,0.0,0.0,,,,
422,422.0,26381,<MENTION> I started by cutting out dairy entirely and only buying locally reared meat. The meat buying was so expensive and such a faff that when I eventually went full vegan it was quite a relief and felt like I got rich overnight 😂,1.5119752337539482e+18,en,0.5421715974807739,0.0,0.0,0.0,,,,
604,604.0,3054,<MENTION> <MENTION> <MENTION> *(hint: this is why Saudi Arabia won't give a shit to increase production to help sanction Russia),1.5112694140999557e+18,en,0.0,0.0,0.0,0.0,,,,
