index,tweet,id,lang,topic,score,argumentative,evidence,claim,procon,arg_type,evidence_type
13118,dude there are so many good and legitimate reasons for not eating real meat. if someone finds it easier to wean off meat by having similar tasting alternatives then let! it! happen!,1.5108365402383565e+18,en,Meat alternatives should be encouraged,0.7100399732589722,0,0.0,0.0,0.0,,
13005,"The Richmond meat-free range has the absolute best meat alternatives, it’s actually insane how good it all is",1.5116962626675835e+18,en,Meat alternatives should be invested in,0.6897646188735962,0,0.0,0.0,0.0,,
1775,<MENTION> <MENTION> <MENTION> <MENTION> Nice <MENTION> now I'm going to stop buying meat from you unless you totally and unambiguously stop buying and selling halal meat.,1.5115450720301998e+18,en,We should stop subsidizing meat,0.6445779800415039,0,0.0,0.0,0.0,,
60,<MENTION> <MENTION> Plant based diet? Checks out.,1.5114804138515866e+18,en,Plant based should be encouraged,0.7097282409667969,lacks context,0.0,0.0,0.0,,
67,"<MENTION> Vegetables are healthy, right?",1.5105945584925614e+18,en,We should encourage more fruits and vegetable consumption,0.6288627982139587,lacks context,0.0,0.0,0.0,,
19,"<MENTION> <MENTION> So in other words, our governments need to stop subsidizing fossil fuels.🤔",1.5114234874154926e+18,en,We should add a carbon tax to food production,0.0,lacks context,0.0,0.0,0.0,,
51,<MENTION> Great reason to switch to vegetarian.,1.5119106063071685e+18,en,Vegetarian and vegan diets should be discouraged,0.7447277903556824,lacks context,0.0,0.0,0.0,,
11,"<MENTION> Yes - chances are very high that I’ve been indulging an inflammatory food or have high information for some reason. That is when I try to strip everything back in an attempt to soothe the inflammation out w diet, golden milk, green tea, magnesium,  salon pas, bone broth. . .  ❤️",1.509318568466387e+18,en,We should subsidize green nutrition,0.0,1,0.0,0.0,0.0,unrelated,
3967,<MENTION> <MENTION> <MENTION> <MENTION> No. I’m a farmer and we are exempt from the carbon tax. We pay 35 cents ish lower than the pumps,1.5092862847280292e+18,en,We should exempt meat production from carbon taxes,0.6639146208763123,0,0.0,0.0,0.0,,
1,<MENTION> <MENTION> 2/2 the cattle after all are eating plant material that just pulled a stack of carbon out of the atmosphere in that annual production cycle where emission were created. Very different to car that is generating emissions from fossil fuels . 🤷🏼‍♂️,1.511297544520827e+18,en,We should exempt meat production from carbon taxes,0.0,1,1.0,0.0,1.0,implicit,fact
12965,<MENTION> investment into global food production millions of square miles are available for farming but nobody wants to use it because of drought for 1.2 bn a decelanation plant with solar power plant to run it to re energize the ground water will enable food production,1.5108692201327985e+18,en,We should invest in more plant based food production,0.7167975902557373,0,0.0,0.0,0.0,,
3571,<MENTION> <MENTION> So mass meat production.,1.5119879737046753e+18,en,We have to increase production of meat,0.782040536403656,0,0.0,0.0,0.0,,
2714,"Natural ingredients can heal your skin, both internally and externally. When natural ingredients like vitamin E in ourA-CNcoconut oil soap are absorbed into the skin, they can increase collagen production, improve oxygen and blood flow to the skin, and repair free radical damage.",1.5116694512041656e+18,en,Vegetarian and vegan diets should be encouraged,0.0,0,0.0,0.0,0.0,,
41,"<MENTION> Plant based options, yes!!!!!",1.5119175672874312e+18,en,Plant based should be invested in,0.6139122247695923,1,0.0,1.0,0.0,implicit,
65,"<MENTION> vegan+opinions I agree with, very cool.
I am just vegetarian but I can lowkey be very sjwish for animal rights",1.5109845145749135e+18,en,Vegetarian and vegan diets should be encouraged,0.7490102052688599,0,0.0,0.0,0.0,,
15828,"<MENTION> <MENTION> <MENTION> And many more dedicated meat options too. Looking quickly I'd suggest you're likely to see vegetarian options more often because the (UK) population is 11% vegetarian and only 1.2% vegan, nearly 10 times less and it's not that profitable catering to such a small minority.",1.5106544353782784e+18,en,Meat alternatives should be subsidized,0.6331037282943726,0,0.0,0.0,0.0,,
66,<MENTION> Please check prices for fruits and vegetables 😋,1.5112624848538952e+18,en,We should subsidize fruits and vegetables,0.6241193413734436,0,0.0,0.0,0.0,,
23,"Moreover,  'animal-based' should not include any plant foods.

When was the last time a 'plant-based' eater argued 'plant-based' should include 10% animal foods? or 30%?

And why should the standards be different to animal based?",1.511802903513768e+18,en,Plant based should be encouraged,0.0,1,0.0,0.0,0.0,unrelated,
3739,<MENTION> <MENTION> Currently meat is down because of cost. Let’s up the production,1.5108195721438618e+18,en,Meat alternatives should be subsidized,0.6765031814575195,0,0.0,0.0,0.0,,
9,"<MENTION> It's racist to club everyone and paint everyone as same. Only RSS/BJP type guys opposes freedom to eat, wear and read.

I'm a pure vegetarian but that's personal choice same as anyone wants to eat meat or be Vegan.

We should all learn to respect people's choicest and coexistence",1.5105259026391654e+18,en,We should encourage more fruits and vegetable consumption,0.0,1,0.0,0.0,0.0,unrelated,
15,<MENTION> Nwa nwere swag no be beans👍,1.5119998489538314e+18,en,We should encourage more fruits and vegetable consumption,0.0,0,0.0,0.0,0.0,,
30041,"<MENTION> <MENTION> Just stop eating meat. Or if you want an alternative, buy BEYOND Meat.",1.511074707021484e+18,en,Meat alternatives should be encouraged,0.7608133554458618,0,0.0,0.0,0.0,,
61,<MENTION> <MENTION> No the carbon tax will pay for it and also change the climate and save the earth. My God people are so gullible.,1.5118333105734656e+18,en,We should add a carbon tax to food production,0.7353605031967163,1,1.0,1.0,1.0,implicit,normative
35,<MENTION> Okay but vegetables suck and fruits are better.,1.5114522381825556e+18,en,We should discourage fruits and vegetable consumption,0.6199948191642761,1,0.0,0.0,0.0,unrelated,
4478,"I’m not surprised they’re considering adding taxes to meat to lower consumption, I honestly predicted this. 

I’m pretty sure Co2 taxes are next followed by climate change mandates.",1.509099054352978e+18,en,We should add a carbon tax to food production,0.7477325201034546,0,0.0,0.0,0.0,,
2142,"Debate about choice of food, meat, no meat, meat butchered in a particular way, can’t eat this at ur home because it is an auspicious day for me ..should stop
What tripe! 
If anything, outrage against unhealthy packaged stuff that’s fattening next gen &amp; clogging their coronaries",1.5113067087311094e+18,en,We should introduce meatless mondays,0.5861417055130005,0,0.0,0.0,0.0,,
13120,<MENTION> For plant based alternatives to be an option they cannot be 3X the price of their meat counterparts. That’s without talking about texture/taste,1.510806352821588e+18,en,Meat alternatives should be subsidized,0.6518106460571289,0,0.0,0.0,0.0,,
9882,<MENTION> <MENTION> Yes because the next government will get rid of carbon tax wont they?,1.5113934248926495e+18,en,We should exempt meat production from carbon taxes,0.6660922169685364,0,0.0,0.0,0.0,,
22295,"<MENTION> Not a good recipe to make the tournament.

Winning the Big Ten tourney might be our only avenue. Nigh impossible to get an at-large bid when you’re still 3 game below .500 in April",1.5119065803541873e+18,en,Vegetarian and vegan diets should be encouraged,0.0,0,0.0,0.0,0.0,,
45,"<MENTION> fruits: banana, pineapple, strawberry, and tomato
vegetables: broccoli and lettuce",1.5111381641775718e+18,en,We should subsidize fruits and vegetables,0.5483446717262268,0,0.0,0.0,0.0,,
11424,"<MENTION> <MENTION> <MENTION> The major food groups: the frozen boxed food group, the canned food group, and pop tarts.",1.5110218401431962e+18,en,We should subsidize fruits and vegetables,0.0,0,0.0,0.0,0.0,,
13174,<MENTION> That is great! Any plans of introducing plant based meat and cheese alternatives?,1.5100128181032796e+18,en,Meat alternatives should be encouraged,0.7073924541473389,0,0.0,0.0,0.0,,
16699,I don’t like fruits and vegetables in general,1.5115038627708068e+18,en,We should subsidize fruits and vegetables,0.5531047582626343,0,0.0,0.0,0.0,,
15106,"I'm technically an omnivore, but I eat as much vegetarian and vegan food as I can.",1.511774784446677e+18,en,Vegetarian and vegan diets should be discouraged,0.0,0,0.0,0.0,0.0,,
13031,I have tried some meat alternatives that aren’t that bad but some of that stuff is absolutely disgusting,1.5114852897468662e+18,en,Meat alternatives should be encouraged,0.7382773160934448,0,0.0,0.0,0.0,,
16421,Fruits or vegetables? And why,1.5117869710138204e+18,en,We should discourage fruits and vegetable consumption,0.6462593078613281,0,0.0,0.0,0.0,,
3618,"<MENTION> <MENTION> <MENTION> But no one of us is buying meat directly from the producers.
Sorry,but it's hard to believe that reducing the production wld hurt the consumers.
It wld hurt the supermarkets.
THEY are the ones who wld import.
For their full looking shelves.",1.5116373811531817e+18,en,We should stop subsidizing meat,0.6719861626625061,0,0.0,0.0,0.0,,
20,<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> need reforms Japan like progress clean green hygiene healthy environment food water air vibes Zeitgeist cherishing amenities facilities infrastructure development transport system drainage system etc,1.510982706363994e+18,en,Meat alternatives should be subsidized,0.0,0,0.0,0.0,0.0,,
13,"<MENTION> <MENTION>  In fact Haldiram's food is not of good quality
I ordered navratra thali frm Haldiram, it turn out to be non edible. Too salty, missing food items, bad packaging
Most importantly after having this food me &amp; my family members had stomachache &amp; needed to see doctor",1.5120088321969562e+18,en,We should stop subsidizing meat,0.0,1,0.0,0.0,0.0,unrelated,
13035,<MENTION> Where can I start seeing about meat alternatives?,1.5114695249603502e+18,en,Meat alternatives should be invested in,0.8391789197921753,0,0.0,0.0,0.0,,
9165,"Of course, this is just another talking point for Kenney's political campaign. He loves to say that the carbon tax is the biggest problem. Wayne, of course, refuses to actually moderate or have on a professional to debate. This is an ad for Jason Kenney's political career",1.5118942585374925e+18,en,We should discourage fruits and vegetable consumption,0.0,0,0.0,0.0,0.0,,
1364,<MENTION> Stop animal testing and fix the way we use animals for meat like raise them better than just fattening them,1.511884990140801e+18,en,Vegetarian and vegan diets should be discouraged,0.0,0,0.0,0.0,0.0,,
1978,<MENTION> <MENTION> Yep. I like meat but want to give it up so I can stop contributing negatively to the planet. I also want a farm someday. Solid meat alternatives make that more possible. Yall will be okay lol,1.5114009158231204e+18,en,We should introduce meatless mondays,0.48632144927978516,0,0.0,0.0,0.0,,
15541,<MENTION> <MENTION> Vegan is not vegetarian,1.511130719564796e+18,en,Vegetarian and vegan diets should be discouraged,0.7805200219154358,0,0.0,0.0,0.0,,
14,<MENTION> I love beans on toast tbh but I like baked beans on toast more than the typical type of beans on toast,1.5119783393592443e+18,en,Plant based should be subsidized,0.0,0,0.0,0.0,0.0,,
12850,"""A healthy food system...would be fair and just policy...that promotes...production and distribution of nutrient-dense food by small-scale farming...[and] easy access to those foods by people, regardless of their so-called race, income or zip code."" - Malik Yakini #granteepartner",1.5110145317236285e+18,en,Plant based food should be subsidized,0.6115694046020508,0,0.0,0.0,0.0,,
25209,"Starting today and Friday, <MENTION> attendees can grab lunch from a local food truck parked right by the hotel skywalk from 11:30 a.m. to 1:30 p.m. Vegetarian and gluten-free options will be available!  #SBM2022",1.512005721495425e+18,en,We should introduce meatless mondays,0.46984174847602844,0,0.0,0.0,0.0,,
7,<MENTION> Do you know about Balance of Nature?  It's a high powered fruit and vegetable pills.  Fruits and veggies have 2 different pills.  I have it listed on my other profile <MENTION> If interested.  May help the pain.,1.509207017847722e+18,en,We should exempt meat production from carbon taxes,0.0,1,0.0,0.0,0.0,unrelated,
29995,<MENTION> <MENTION> Absolutely right we should all boycott the halal meat. I am not a huge supporter of meat anyways.  What about people who like to eat non veg and the kids who wants to eat non veg once in a while. Boycotting is not the only solution providing alternative is the actual solution,1.511671385663234e+18,en,We should stop subsidizing meat,0.6409969329833984,0,0.0,0.0,0.0,,
14988,"<MENTION> They will say vegetarian or vegan. Eat what you will, hormones and all ….",1.5119673357033185e+18,en,Vegetarian and vegan diets should be encouraged,0.7362011671066284,0,0.0,0.0,0.0,,
29113,"<MENTION> What about in the contact of a plant-based diet; where meals are planned around plant-based sources of protein (legumes, soy, seitan etc.)?",1.511396356950274e+18,en,Plant based food should be subsidized,0.6172473430633545,0,0.0,0.0,0.0,,
46,What’d this plant do to be so based?,1.511774076297093e+18,en,Plant based should be invested in,0.6481122970581055,0,0.0,0.0,0.0,,
4306,<MENTION> are you even remotely aware how much carbon emissions meat diets are responsible for? Its stupid to be a non vegetarian,1.511326209158058e+18,en,We should exempt meat production from carbon taxes,0.6852447986602783,0,0.0,0.0,0.0,,
16948,"<MENTION> I consume as many fruits, vegetables, and water as possible. My intention is to do more of that than unhealthy foods.",1.5112496441975972e+18,en,We should discourage fruits and vegetable consumption,0.6303821802139282,0,0.0,0.0,0.0,,
37,"<MENTION> Gday mate, Carbon Taxes are a farcical solution it doesnt take carbon out of the environment! 
have to agree with you it cant not put money in your pocket",1.5099430278043116e+18,en,We should add a carbon tax to food production,0.7120998501777649,1,1.0,1.0,-1.0,implicit,fact
8774,<MENTION> <MENTION> How can you genuinely argue someone was wrong on TSLA when nobody was ever as wrong as you were for SO long? 5 lockdown days of Shanghai production would have add about 15K. Plus 2 missing days in Feb. Tesla meet WS expectation despite these 7 missing days.,1.510661506144297e+18,en,We should encourage more fruits and vegetable consumption,0.0,0,0.0,0.0,0.0,,
27,<MENTION> Do you consider raising the carbon tax as the affordable thing to do?,1.5116593510685286e+18,en,We should add a carbon tax to food production,0.7569004893302917,0,0.0,0.0,0.0,,
40,"<MENTION> <MENTION> <MENTION> <MENTION> That is nothing that the carbon tax was introduced for. 

So cancel it and change to something else to actually help the environment.",1.51179697351014e+18,en,We should add a carbon tax to food production,0.7347560524940491,1,1.0,1.0,-1.0,implicit,normative
15123,<MENTION> <MENTION> <MENTION> I do cook a lot of vegetarian and vegan dishes though.,1.5117562779737539e+18,en,Vegetarian and vegan diets should be encouraged,0.7422888278961182,0,0.0,0.0,0.0,,
13964,"<MENTION> Its likely the plant based alternatives will soar in price too. The crops need expensive fertiliser, expensive transportation and expensive processing. There may be a short time lag as these costs will affect the crops going into the ground now.",1.5117144642608865e+18,en,We should invest in more plant based food production,0.6462411880493164,0,0.0,0.0,0.0,,
19333,just ate my body weight in food for imsak and i need to shit right now bc there absolutely no way i am going to school being this bloated,1.5120074660825252e+18,en,We have to increase production of meat,0.0,0,0.0,0.0,0.0,,
15778,Vegetarian maybe but not vegan,1.5107054793196995e+18,en,Vegetarian and vegan diets should be discouraged,0.7717621922492981,0,0.0,0.0,0.0,,
16717,<MENTION> as a person who does not like vegetables and fruits this is a very hard question for me to answer,1.5114882115157565e+18,en,We should discourage fruits and vegetable consumption,0.6469981074333191,0,0.0,0.0,0.0,,
5819,<MENTION> Carbon Taxes “work” because you have less money to buy stuff resulting in less stuff being consumed thus generating less CO2,1.5106346308225925e+18,en,We should add a carbon tax to food production,0.7453968524932861,0,0.0,0.0,0.0,,
30,"<MENTION> We are on the green bean diet here, too!  I love them.  Mom hasn't tried broccoli😱",1.509982931623813e+18,en,We should subsidize green nutrition,0.5477408766746521,1,1.0,0.0,1.0,implicit,anecdotal
3618,"<MENTION> <MENTION> <MENTION> But no one of us is buying meat directly from the producers.
Sorry,but it's hard to believe that reducing the production wld hurt the consumers.
It wld hurt the supermarkets.
THEY are the ones who wld import.
For their full looking shelves.",1.5116373811531817e+18,en,We have to increase production of meat,0.6819043159484863,0,0.0,0.0,0.0,,
6900,"<MENTION> <MENTION> <MENTION> This is one of those taxes , like sin tax on alcohol , that’s responsible because of the global climate crisis. Small decisions that add up to fewer emissions over time. If they don’t, there’ll be a budget for “green infrastructure” investment. $ to the people somewhere else.",1.5114845508363674e+18,en,We should subsidize green nutrition,0.5509351491928101,0,0.0,0.0,0.0,,
16598,<MENTION> Sir always eat green vegetables and fruits. wow !😎,1.5116301479499817e+18,en,We should discourage fruits and vegetable consumption,0.6291690468788147,0,0.0,0.0,0.0,,
15168,"If you can’t afford the high price of ethically raised/farmed free range or grass fed cheese/eggs/fish or meat then go vegetarian. The vegan obsession with making animal’s lives so much better than your own or other humans is misplaced, inhumane and ridiculous!",1.5116898787313132e+18,en,Vegetarian and vegan diets should be encouraged,0.7539368867874146,0,0.0,0.0,0.0,,
13027,"<MENTION> <MENTION> <MENTION> If meat alternatives become viable, it may be that meat farming is no longer even profitable, and the govt won't have to regulate anything.",1.5115341676451226e+18,en,Meat alternatives should be subsidized,0.7476381063461304,0,0.0,0.0,0.0,,
28,"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> People have been making meat alternatives for centuries for various reasons. If people want to eat a meat analogue that causes much less death and environmental destruction, what's your problem?",1.5116515023345664e+18,en,We should stop subsidizing meat,0.6293835639953613,1,0.0,0.0,0.0,unrelated,
15906,<MENTION> I can do vegan and vegetarian food occasionally but I refuse to limit my options 100% of the time,1.5105085414083912e+18,en,Vegetarian and vegan diets should be discouraged,0.7596214413642883,0,0.0,0.0,0.0,,
13001,<MENTION> Do you have meat alternatives there by your church?,1.5117301258759127e+18,en,Meat alternatives should be encouraged,0.7317205667495728,0,0.0,0.0,0.0,,
39,"<MENTION> <MENTION> Green taxes go into subsidizing development and production of green energy solutions.

If we were on 100% renewables, our electricity prices would not have needed to go up. We need to move into self-sufficient green energy as soon as possible,",1.5099543184091218e+18,en,We should subsidize green nutrition,0.5700336694717407,1,0.0,0.0,0.0,unrelated,
55,"<MENTION> Big deal. With the carbon tax, they'll be further behind.",1.5116642093980467e+18,en,We should exempt meat production from carbon taxes,0.673905611038208,lacks context,0.0,0.0,0.0,,
13313,Y’all fight every day about people eating plant based. All you like about meat is the texture and seasoning because if I served you a boiled strip of pig meat you wouldn’t eat it like bacon.,1.511974238428844e+18,en,We should introduce meatless mondays,0.49046504497528076,0,0.0,0.0,0.0,,
13029,"<MENTION> don’t get me wrong, it can be good but the meat alternatives are just not it.",1.5115027059607757e+18,en,Meat alternatives should be invested in,0.7197754383087158,0,0.0,0.0,0.0,,
8,<MENTION> I'm sure you and the mini hoo would have coped admirably without mum - until the food ran out. If hoomum didn't come home we'd only notice her absence when we were hungry. 😁,1.5120090103791657e+18,en,We should introduce meatless mondays,0.0,0,0.0,0.0,0.0,,
14189,"It ain't even about JUST food, there are several ways this can be done!

And The IPCC and every reputable nonbiased Study say plant-based diets are the least harmful of western diets, that includes Meat, since its everything ""wrong"" with Vegan diets x10. This is easily citable.",1.5115991982270833e+18,en,Vegetarian and vegan diets should be encouraged,0.7548093795776367,0,0.0,0.0,0.0,,
16899,<MENTION> Buy fruits and vegetables,1.511308532326482e+18,en,We should encourage more fruits and vegetable consumption,0.7479493021965027,0,0.0,0.0,0.0,,
15707,"<MENTION> <MENTION> Yup. I mean, I don't give people shit for being vegetarian or vegan, but I don't much care for being chastised for wanting to eat meat sometimes.",1.5108429550489313e+18,en,Vegetarian and vegan diets should be discouraged,0.7526181936264038,0,0.0,0.0,0.0,,
2202,<MENTION> In tamilnadu we cook meat on deepavali....we celebrate deepavali by eating meat .....pls stop looking our plates....our food our choice,1.511265154821808e+18,en,Vegetarian and vegan diets should be encouraged,0.0,0,0.0,0.0,0.0,,
3877,"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> Always prudent business practice to replace meat based means of production (i. e., profit maximization) with mechanical ones. So much less bother to deal with and no need to pretend caring.",1.5093671868752445e+18,en,Meat alternatives should be subsidized,0.6648009419441223,0,0.0,0.0,0.0,,
17164,<MENTION> What are fruits and vegetables?,1.5109921015966106e+18,en,We should encourage more fruits and vegetable consumption,0.6223067045211792,0,0.0,0.0,0.0,,
17,"<MENTION> <MENTION> He’s speaking on the environment not misleading people on the health of a diet. He’s not vegan or vegetarian and he owns the largest share of farmland, about 270,000 acres.",1.5118423143056466e+18,en,We should subsidize fruits and vegetables,0.0,lacks context,0.0,0.0,0.0,,
5,<MENTION> <MENTION> To be clear: vegetarianism is fine and practiced by many of the monasteries. Veganism can’t happen if we’re going to use beeswax candles.,1.5118625215228027e+18,en,Meat alternatives should be encouraged,0.0,1,0.0,0.0,0.0,unrelated,
73,"<MENTION> <MENTION> <MENTION> I mostly get meat at whole foods. The min/max between humane treatment and shipping and environmental impact is good for local meats. 

Veggies and fruits, I agree; every one is different.",1.5117486750679572e+18,en,Meat alternatives should be encouraged,0.7115838527679443,1,0.0,0.0,0.0,unrelated,
69,<MENTION> <MENTION> I can agree with everything you just except said the meat thing...we should be doubling the pasture raised beef production.,1.5095304689740923e+18,en,We have to increase production of meat,0.749778151512146,1,0.0,1.0,1.0,explicit,
3891,<MENTION> <MENTION> <MENTION> Cease meat production..,1.5092645945643704e+18,en,We should stop subsidizing meat,0.6540060043334961,0,0.0,0.0,0.0,,
24,<MENTION> <MENTION> <MENTION> Many fruit &amp; veg (which contain natural acid) don’t trigger flare ups- The list is long and varied (obs this may not apply to you) but after a little digging I found some doctors do reccomend a plant based diet to ease the inflammation. Going meatless is even recommended by ICA,1.509273971438633e+18,en,We should exempt meat production from carbon taxes,0.0,1,0.0,0.0,0.0,unrelated,
43,"<MENTION> <MENTION> Substitute meat or artificial meat should be provided
reduce carbon emissions
make processed meat",1.5107716474683023e+18,en,Meat alternatives should be invested in,0.6894819140434265,1,0.0,1.0,1.0,implicit,
42,"<MENTION> Ppl hate it when their perversion towards meat is challenged by a more humane, sustainable fact based nutrition.",1.511766842360148e+18,en,We should stop subsidizing meat,0.6418981552124023,1,1.0,1.0,1.0,implicit,normative
56,<MENTION> <MENTION> And green food coloring,1.5110474328424038e+18,en,We should subsidize green nutrition,0.5445860624313354,0,0.0,0.0,0.0,,
10209,<MENTION> wen carbon tax on food in Germany?,1.5107410146584863e+18,en,We should exempt meat production from carbon taxes,0.6582658290863037,0,0.0,0.0,0.0,,
30579,<MENTION> <MENTION> Strictly plant based is an awful idea.  Eat a well balanced diet and focus on hormone balancing,1.510386127043117e+18,en,Plant based diets should be encouraged,0.7812572121620178,0,0.0,0.0,0.0,,
32186,It’s better than Whole Foods imo &amp; y’all know how much ya girl loves Whole Foods,1.5117763320525783e+18,en,Meat alternatives should be subsidized,0.0,0,0.0,0.0,0.0,,
19436,<MENTION> I work at the terrace and rumor has it if you come for food after your round tomorrow then your guaranteed to be getting that green jacket on Sunday.,1.5119093617733837e+18,en,We should introduce meatless mondays,0.47475138306617737,0,0.0,0.0,0.0,,
50,Eat fruits and vegetables #HealthandFitness,1.5118880709745787e+18,en,We should subsidize fruits and vegetables,0.5402312278747559,1,0.0,1.0,1.0,implicit,
16,<MENTION> <MENTION> Then maybe we should tell US and China to actually pay the carbon tax which comes over to us lol 😂 should add,1.509967015217447e+18,en,Plant based should be invested in,0.0,1,0.0,0.0,0.0,unrelated,
5988,"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> Subsidies have been part of O&amp;G.  They will continue for green energy to assist with the transition. Carbon taxes are a good source of revenue for green energy,",1.5101018257933885e+18,en,We should discourage fruits and vegetable consumption,0.0,0,0.0,0.0,0.0,,
13145,"<MENTION> <MENTION> I agree meat has been our major part of diet since ages, but science agrees that there are so many alternatives to meat for protein like soya, paneer, channa etc.",1.5104985621859738e+18,en,Meat alternatives should be encouraged,0.6922683715820312,0,0.0,0.0,0.0,,
1331,<MENTION> Im at my gym 5 days a week... there used to be some meat heads that kept dropping weights &amp; grunting like animals..trying to impress whoever was around.. gym owner put a stop to it..,1.5119261852021228e+18,en,We should discourage fruits and vegetable consumption,0.0,0,0.0,0.0,0.0,,
17306,<MENTION> Why are their fruits on a vegetable list,1.5117704364424643e+18,en,We should discourage fruits and vegetable consumption,0.6195392608642578,0,0.0,0.0,0.0,,
25,<MENTION> <MENTION> <MENTION> Switch to plant based diets to reduce food costs and benefit climate,1.5116599217496678e+18,en,Plant based should be encouraged,0.6202627420425415,1,1.0,1.0,1.0,explicit,fact
1291,"Wish they would stop making meat alternatives try to taste like meat unless they're really that good bc there's so many good ""pattie"" possibilities with vegetables and stuff that don't have to taste like meat at all but they will be bomb",1.5119646622122312e+18,en,Meat alternatives should be encouraged,0.711546778678894,0,0.0,0.0,0.0,,
52,<MENTION> Sadly this won't ever happen as if they were honest they'd realise we needed to increase red meat consumption which isn't exactly endorsed by the leftist blob that dominates our institutions.,1.5116900512221266e+18,en,We should stop subsidizing meat,0.6295267343521118,1,1.0,1.0,-1.0,implicit,normative
33,<MENTION> <MENTION> <MENTION> Yes but to be fair: we can expect a massive increase in meat and dairy consumption in emerging countries that will severely limit the impact of whatever we do.,1.5100154146208072e+18,en,We have to increase production of meat,0.6718571186065674,1,1.0,0.0,-1.0,implicit,normative
2265,"<MENTION> It would also be nice if our government could begin subsidizing more sustainable options (like plant based meat) vs things like beef

but... i digress",1.5117880364383027e+18,en,Plant based food should be subsidized,0.6603031754493713,0,0.0,0.0,0.0,,
19558,"<MENTION> <MENTION> <MENTION> Dude, For real?
•10 min , and the solar panels would be covered with sand reducing their efficiency and malfunction might occur
•African countries can't afford to use money in green energy rather than on education, employment and food, infrastructure for their people",1.511712068419801e+18,en,Meat alternatives should be invested in,0.0,0,0.0,0.0,0.0,,
22262,"Ok Paula's ""recipe"" for cooking fried chicken may be ""questionable"", even unsanitary(she didn't rinse chicken in in cold water long enough or the right way!😝😷 But what's with all the biracial insults &amp; name calling people?? Good grief!😒",1.5119735305141658e+18,en,We should subsidize green nutrition,0.0,0,0.0,0.0,0.0,,
14413,"Licious delivers, whether it's Tuesday, Navratri or both. Try. 
Not saying it's planned, but who gets majorly benefited by 9-day shutdown of meat shops?
FYI Mohandas Pai has invested in this startup. 
#meatban",1.5113443749613117e+18,en,We should introduce meatless mondays,0.4728597104549408,0,0.0,0.0,0.0,,
4039,"<MENTION> <MENTION> <MENTION> Start with the ""nimby"" TAX EXEMPT green-climate nonprofits that have those new, shiny buildings and open parking lots. Time for these tax exempt nonprofits who don't pay a dime in taxes to pony up and pay their fairshare.",1.511357962375209e+18,en,We have to increase production of meat,0.0,0,0.0,0.0,0.0,,
