tweet,label
<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> I did not confirm nor deny who I am. Because this thread has eyes.,0
2)Fermented foods showed more improvements in lesser inflammatory markets than a high fiber diet regimen. It might be due to the case that fermented foods mostly have fiber and live microbes. Eating whole grains and greens and starchy veggies helps everyone.,1
"<MENTION> Everyones a good vegan except for the ones that tell you if you are or aren't vegan based on arbitrary principles. 

If your support animal rights and harm reduction to animals then basically your supporting veganism and ergo are vegan.",1
"<MENTION> I'm not sure what this has to to with being a nurse.

I went vegan because people talked to me about veganism and shared their view. I'm not doing this despite it not working. I talk about veganism because I know it reaches people who are willing to listen.",0
If your being bullied/targeted do as much exercise as you can &amp; eat as much healthy food as you can as it can be stressful &amp; you will need to be fit to fight the stress.,0
"Contains anti-inflammatory properties.
Support Skin and Hair Health.
Support Joint Health.
Support the health of your heart.
Support Blood Sugar Levels.
Are completely safe with no side-effects.
Are completely plant-based and vegetarian friendly.",1
<MENTION> That's perfect.  I'm going to use pork too and add green chile,0
<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> render,0
<MENTION> <MENTION> <MENTION> Helloooo!! So do u like my offer for cow :),0
<MENTION> I’d stop but we carpooling. ima be back up that way soon.,0
<MENTION> what’s the recipe of the ramen you made tonight?? It looks really good and I want to make it with my partner :),0
"Bad Diet: when you're at home, eat only legumes. When you're eating socially, eat no wine",0
"Beside what's the point? You lose 5kg in ramadhan but gain 10kg during Raya. 

Because the diet is not sustainable. Eat healthy everyday. 

More protein and fiber. Do cardio. Stop Yoyo dieting.",0
"- Time your rest periods during workout and stick to it.

-Fitness isn’t punishment it’s a blessing, nutrition isn’t restrictive it’s healing. 

-Flat belly foods: eggs, veggies, beans, fruits, nuts, whole grains. 

-Cinnamon is a great spice to help boost your metabolism",1
"1. Ditch ultra-processed food.

These are the heavily-advertised factory foods that come in boxes and bags and are sold in the middle aisles of your supermarket.

Main ingredients are sugar, seed oils, and refined grains. Avoid them.

Eat real whole foods",1
A marriage made in hell--the American Heart Association and Procter &amp; Gamble. Seed oils are not heart healthy. They are deadly over time. Eat real food.,1
I'm going to Whole Foods at 6pm and walking around with a bottle of Rosè,0
<MENTION> thinking back on a recipe he read just the other day in good housekeeping and wondering if he can do a twist on it with what he's already got in the fridge,0
<MENTION> *Shaking Fist at Meat Circus*,0
"adding fruit juice to tea like creamer in coffee &gt; 

it’ll bless you !",0
<MENTION> <MENTION> <MENTION> do they run on plant based fuel 35 mile to the sugarbeet round town😂😂😂,0
"What’s your supplement stack?

Mine: 
Plant protein powder
EAA’s
Organic muscle pre workout
L-Citrulline 

I focus primarily on muscle growth and cardiovascular health",0
"<MENTION> Think of it like cuisine; you're not trying to master every recipe possible. TouchDesigner is a playground of immense kitchen equipment and tools and pots &amp; pans... but if you just want to make a really good apple pie, then start with just that. Learn about peeling apples first.",0
"<MENTION> Processed foods are the enemy. Eat whole foods as much as you can. You can add a little salt before eating to your cooked meat &amp; veggies. Don't use bottled salad dressing. Use natural flavor enhancers like garlic, lemon &amp; herbs.",1
"<MENTION> Simulation
Emergency departments
Board games
Judaism
Vegetable/herb gardening
Knowledge management
Planning
Risk assessment 
Parenting
Preemies
Sci fi / dystopian / multiverse fiction
Dog training
Personal development
Harm reduction
Language
Veganism
general nerdery and geekery",0
<MENTION> Almost zero plastic is recycled anywhere. Maybe the greatest thing we can do from home is buy as little plastic as possible. Multiple-use plastic is far better than single-use but should still be avoided. We try only to buy glass jars instead. Buy bulk and meat wrapped in paper.,0
"<MENTION> listen. 
apples are a better fruit to eat.
BUT
orange juice is superior to apple juice",0
Can anyone explain to me/us why the price of E10 fuel (plant based fuel/ ethanol) is going up at the same rate as E5 fuel . Other than the fact if the prices didn't rise they would ran out of E10.  (1/2),0
"This isn’t inflation; it’s price-gouging: Finding my fav midtown bistro shut post Covid, I found another asking $20 for Fr onion soup, $46 for steak. Nearby Greek: $100+ for fish.Don’t care how much $$ u have, Im betting a lotta customers don’t want to b treated as fools #foodies",0
"<MENTION> That’s been a big factor. James is a similar player to Harrison. Rodrigo has not been the twenty goal a season striker, Barcelona laughing their socks off at 12 million for Firpo. Raphina has lost all interest. Not a recipe for success. Small squad physically shattered. Not good.",0
<MENTION> Okay so I need an ice cup &amp; a steak,0
"Heat vegetable oil in a saucepan or deep pot. Add sliced onion and fry for about 2 minutes. Add the blended mixture and fry together. Stir in curry, seasoning cubes and salt to taste. Combine thoroughly and leave to simmer-fry for 10 minutes. Stir regularly to prevent burning.",0
"Quick Habit Formation Tip:

Don't just form habits. Change your environment.

Want to focus? Have a cleaner and silent room

Want to eat healthy? Throw trash food from the house

Want to exercise? Quit spending time with lazy people

Your environment influences you",0
"Concentrate on staples, dry goods, flours, grains, rice/legumes (together form a complete protein), baking needs, animal feeds. Store in plastic buckets/lidded trash cans. Next onto canned goods/meats/tuna/etc. SEEDS/garden supplies. Medicines. As time/$ allow spices, coffee, tea",1
"High Protein Diet does not harm your kidneys.

Infact you were made to consume higher protein and fats than carbs.

Eat more meat, eggs, seafoods

Eat legumes, add Nutritional yeast to your diets

Avoid protein shakes.",1
"chance of
becoming obese, or developing
diabetes or high blood pressure
– all factors that can trigger
a heart attack. Instead of eating
processed meats, diary food
and other refined foods that clog
your arteries with fat,
switch to a plant based diet.",1
<MENTION> Looks good though. Is there a recipe you'd be happy to share?,0
<MENTION> <MENTION> Look up “soothing African peanut soup” recipe.  Super healthy and peanutty.,1
"<MENTION> <MENTION> We know why , but your overwhelming &amp; overconfidence will bow no fruit. May God curse you.",0
<MENTION> <MENTION> Incredible. Is it easy enough to have a vegetable garden there? Is soil good enough? Cauliflower is so easy to grow...,1
Good morning! I followed a bit more ppl back but I'm now on a short follow limit😂 but holy cow we already passed 300 during the night thanku and hi new moots 🥰☺️💜💜💜💜,0
pumpkin spice &gt; green food coloring,0
"-Spices and seasonings
- Apple sauce
- Fresh fruit and vegetables that don’t need refrigeration (double check with your bank cause not all of them accept that)
- Cereals, granola, and oatmeal
- Natural juices
- Whole grains like brown rice and pasta
- Tomato sauce
- Dried fruit",1
<MENTION> Consumption of processed carbs sweets trans fats ..vs healthy daals legumes beans veggies and it's production availability palatability vs average Metabolic syndrome obesity diabetes ?,1
they did not just use olive oil,0
"Nutrition - Iron

Function:

- Needed for red blood cells. 
- Required for normal metabolism. 
- Needed for immune system. 

Sources:

- Meat. 
- Liver. 
- Bean. 
- Nuts. 
- Dried Fruits. 
- Whole Grains. 
- Dark Green Leafy Vegetables.",1
🪄 if you’re going out to eat tonight do not get steak it’ll make you sick,1
<MENTION> its like laughing cow cheese you just gotta take the wrapper off when they're still hemolymph and stem cell soup,0
Got some meat on the grill yeah definitely been long overdue 😩😩😭❤️,0
"<MENTION> People are thinking Luffy is Joyboy but what if not Luffy but his Devil Fruit is Joyboy and its finally awakening, also World Government did say they changed the fruit name which was going to awaken",0
"I hate green pepper! I won't forgive you if you put it in my food, Satsuki!",1
"Here are some healthy ways of getting minerals in your body for a healthy DNA:

Iron deficiency: Leafy Greens, Beans, Seeds

Iodine deficiency: Seaweed, Prunes, Lima Beans

Calcium deficiency: Leafy Greens, Seeds, Almonds

Magnesium deficiency: Whole grains, Nuts, Leafy Greens",1
"1-Each one of your meals should include:
. A protein source
. Fat source
. Vegetables
. A small portion of complex carbohydrates, such as whole grains",1
"<MENTION> peanuts, tree nuts, and legumes (peas, chickpeas, beans, lentils, etc.)",0
"3/5 Its agroindustrial arm includes a cannery plant, two poultry factories, a confectionary plant, a fish processing plant, and a hosiery factory. The group’s agricultural business includes 6 divisions in 5 regions of Ukraine that specialise in plant, animal, &amp; vegetable farming",0
"You can shove singles down people's throat forcefully, hoping that it sticks &amp; convert to an ""inorganic hit"". Concerts are a diff game altogether, ppl will come only if they are interested,can't force them like you force a song. JB can get a hit &amp; sold out tours. Organic King. 😁",0
<MENTION> Kim K has had more meat than a deli. WTH did Kanye think she was going to do? Now he's got baby mama drama and a yuge child support payment.,0
<MENTION> <MENTION> Honestly that was me when I first started my plant based journey now it’s guacamole all the way … and if they for some reason r out it’s TOTALLY 👌🏾I got some avocados @ home 😗,0
"Heya, Miriam! You really look like you need sweet potatoes with a baked potatoes and a side of melodic topinambur covered in plant-based spit from Ohio",0
"<MENTION> <MENTION> I still love the band (and album art), but I’m just not vegan anymore so I’m glad I didn’t commit any veganism-specific ink to my skin!",0
"<MENTION> Tried eating plant based for a month with my niece for health. I felt so wonderful and better with my relationship with food immediately. Watched a few docs, mourned over the animals and now its been 2 years in July for the animal, planet, my health. Yummy food. Love it❤",1
"Drink only spring water, eat only whole grains",1
"Now would not be a bad time to store food:
1. 3 months supply of non-perishable food you normally eat
2. Grains in bulk (wheat, corn, rice, pasta, etc)
3. Legumes in bulk 
4. Baking ingredients (oil, sugar, salt, powdered milk, etc)
5. Dried fruits &amp; vegetables
6. Comfort foods",0
"<MENTION> TP = Over period…
Or not even in the dispenser 

Miracle Whip = Ok for certain foods or sandwiches  otherwise 
Olive Oil Mayo or flavored Mayo",0
"<MENTION> Sauce deats:
Blended 
-Beets
-Tomatoes
-Bell peppers
-Carrots
-Onions
-Garlic
-Olive oil",1
"<MENTION> Eat whole foods. 
Remove processed food
Remove seed oils, vegetable oils
Remove sugar
Remove bread, pasta, rice (grains) 
Eat organic if you can afford it
Fast",1
<MENTION> <MENTION> Where do legumes fall on this chart?,0
"<MENTION> Doing so so I suppose 
Mentally im good but it kinda feels i might be sick like food poisoning maybe too early to tell",0
"<MENTION> FWIW for me, almost totally online social life plus gathering people for a week together every 6 months feels like a pretty healthy recipe that's easy to maintain (eg easier than coordinating everyone to move to the same area)",0
"<MENTION> They really out there assuming guys have more than some whiskey, bitters, packet sugar, and some fruit that is starting to turn in their vegetable crisper",0
"<MENTION> At the executive level, assuming a good product, it’s about capital allocation. What can happen is product can stray because management isn’t good with that part, but capital allocation can stay good. Still a recipe for long term problems.",0
"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> You wrote stuff about vegans having cheat days as well. So you also make assumptions, but cheat days could only be part of a plant based diet for health etc., but not a vegan lifestyle for the animals, since you don't cheat on your values. And a vegetarian eating 100% pb is rare",1
"<MENTION> Coffee made using plant based milk like almond milk, coconut milk, cashew milk, etc",0
"Whole grains, fruits &amp; starchy vegetables that are rich in carbs are among the healthiest foods. Human civilizations thrive on whole grains like rice, wheat, millets etc. But processed carb rich sugar, maida etc can make permanently sick.",1
"<MENTION> <MENTION> I have gone through a 6 month course in holistic health.

Stop counting carbs.

Just avoid preservatives and processed sugars.

Snack healthy. Fruits, nuts, 85% dark chocolate, any nut butter, whole grain cereals, buckwheat pancakes, tons of green veggies &amp; Gujarati food.",1
<MENTION> Eating veggies and fruits and legumes,1
"To the man who answered his phone in the whole foods parking lot and said “Good morning babe! Turkey chili tonight?” No notes dude, have a great Saturday!",0
<MENTION> Dude doesn’t even like his steak well done he likes it congratulations,0
Been slowly transitioning echo into a raw diet since she’ll be a year soon &amp; thissss lil bougie btch refuses to eat her hard food now 🙄🙄 QUIEN ME MANDA!,0
<MENTION> Throw in a pork banger or two and you're winning!,0
"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> Liberal logic - it’s ok for our vegetable president to go to beach front home for the weekend and do nothing but not all right for the last president to go to is home in Florida, play a round of golf but still work through out the weekend. Got it!",0
<MENTION> <MENTION> <MENTION> Complete plant proteins are unnecessary because no one eats a single food type. They might eat rice + soy in one meal. A range of vegetables and pulses at dinner time. Cereal grains for breakfast. Every single essential amino acid is present in a healthy vegan diet.,1
"<MENTION> <MENTION> You don't need to supplement with B12/iron unless low. It's a myth even some vegans promote. Iron: red kidney beans, leafy greens. B12: nori seaweed (sushi), nutritional yeast, Marmite. Loads of mock meats are fortified. Lysine: nuts, seeds, legumes.",1
"<MENTION> Nordic diet is less processed food. Meat and milk form healthy naturally bred cows not on steroids, lots of grass fed also in “factory farming”, trans fats banned.",1
"<MENTION> <MENTION> I've had great success with the standard whole food, plant based diet. Imp to both eliminate/restrict inflammatory foods and increasing fruits, legumes, veggies and grains.  Low sugar, salt and oil.  Lots of specific foods like mushrooms are particularly good for the brain.",1
"3 Foods Truths

1. Calories matter (those who deny it are selling you something). 

2. All calories are not equal. Some foods are more caloric, some more filling. Both impact how much you eat.

3. Eating ""healthy"" food ≠ weight loss (because calories still matter).",0
<MENTION> Yeah no joke he ran out of his red lipstick using it on his pig named pork belly spending,0
sean learned the term ‘maillard reaction’ from watching chopped and now whenever i cook us food he’s like ‘nice maillard reaction on that’,0
"<MENTION> I’m very happy to b able to go and walk around to get some fresh air! you too, sumin, stay healthy! eat a lot of healthy food 🥗",0
"<MENTION> 100% not Covid vaccine vaccinated, healthy, no loans, and unemployed 😁. Working on the farm with the sun, rain and food around me so not going hungry. So all is good!",0
someone woke up and decided for me what's fruit and vegetable. what if i disagree?,0
"Protein is a macronutrient that is essential to building muscle mass. It is commonly found in animal products, though is also present in other sources, such as nuts and legumes. Meat, seafood, poultry, grains, beans and dairy products are good sources of protein.",1
"Making a big batch of Mujadarrah (lentils, rice, fried onions) and the onions browning in olive oil is making the house smell delectable.",1
"Pros:

- salt and sugar are not consumed;
- low-calorie food.

Minuses:

- a lot of meat;
- lack of whole grains;
- Refusal of dairy products.

Output:

- does not comply with the principles of healthy eating;
- Causes nutritional deficiencies.",0
"<MENTION> Eat lots of plants. Organic is much better. 70-80% of your immune system is coming through your gut microbiome. Healthiest gut is in people who eat at least 30 different plants per week (diversity). Lots of fruits, veggies, legumes.",1
"Carbohydrates are classified into simple and complex sugars.Our normal table sugar, sweets,icecream, cake icing are simple sugars with a very high glycemic index. 
Legumes(beans),yam,and grains are complex sugars.",0
"Here's a delicious lunch, fettuccine with broccoli, that takes 5 minutes to make. Make sure to use a super high quality extra virgin olive oil from Greece or Sicily. This is the type of stuff I make when I only have 15 mins 2 eat. Short staffed today. Gotta scarf N go.",0
<MENTION> I used to do that with olive oil back in the day when I didn't reach my calorie goals for the day. I was actually in my best shape ever back then lmao,0
"And it fucking works, hiding from food when I feel like bingeing genuinely doesn’t help me because it doesn’t allow me to learn how to control myself",0
"I can't argue with the mint choco thing cause I haven't tasted it, I don't like going out of my comfort zone when it comes to my food",0
<MENTION> Aye them mfs EAT 🥴 we had one and I feel like food was too damn expensive,0
"<MENTION> <MENTION> Yes but what does butter offer that others foods don't?

High in cholesterol.
Unhealthy fats.
Beta-Carotene can be found in yellow, orange, and green leafy fruits.
All the vitamins can be taken with a Multivitamin or already in your diet.",1
"<MENTION> <MENTION> All packet stuff, milk, chocolate cereal, ready meals. You know, all the healthy food.",1
"<MENTION> Minestrone, crab chowder, vegetable beef and of course, the ubiquitous tomato soup.",0
"<MENTION> Off hunger and help burn fat. I do a bulletproof coffee most mornings. That won't spike blood sugar. You can google that. 

3. Nutrient/calorie dense foods. Avocados, olive oil, nuts (except peanuts/cashews), sauerkraut/kimchee for gut bugs, lots of greens and deep colored vegs",1
"<MENTION> <MENTION> Mind diet is fish, green veg, oil, berries, and a glass of wine a day. Not allowed red meat, fried food, sweets/cakes/pastries, butter and marg, cheese.",1
<MENTION> They fruit better and they bogo deals go in,0
"<MENTION> <MENTION> I am NOT a plant based eater, but Im sure I'd body that plate tho.",0
<MENTION> 🤷‍♀️😂 nothing wrong with pork scratchings!,0
"ahhh I have so little but so long things to do, dry laundry, practice Japanese, learn new dance, then tidy laundry, edit videos &amp; clean out my phone TT but I'm too busy watching a yt vid on how to make Japanese fruit sandwich",0
"4) Within a year or so, I transplanted the lime tree into ground with our other citrus trees.  For a the first 2+ years, it adjusted and started new growth.  Last year it bore its first fruit in many years - just 5 small limes, but the tree has its purpose back.",0
"<MENTION> almond and soy milk, meat. Freezer staples, protein bars, crackers, beverages",0
"How to be more attractive in 10 days:

- Eat real, unprocessed whole foods
- Let go of perfectionism
- 2L of water daily
- Take cold showers
- Take vitamin C",1
"<MENTION> <MENTION> AND food, water, medicine, 1st aid supplies, pet food, salt, vinegar, alchohol.

A lot of people think putting away food means cans, but that expires.

Dehydrated, freeze dried. Lasts for years.

Beans, lentils, legumes, rice, dry pasta, dry fruit/veg, nuts, quinoa, sugar, flour.",1
"I have diverticulosis, already flared to diverticulitis. So these, I need to avoid, to not cause another flare up,Whole grains. Fruit/vegetables with the skin and seeds.Nuts and seeds,Red meat, processed meats, fried foods, Beans brown rice, high fat dairy and Popcorn.",1
<MENTION> No rib bones on hand. Some good ground beef and ground pork though.,1
"<MENTION> She's just what Obama order for America, a dumb ass CCP puppet, just as the vegetable Biden is! Imagine 3 more years of this? It's time to correct the cheating of the Dem/CCP &amp; find a legit way to throw these Communist thugs out on their ear!",0
"<MENTION> I could almost believe this, the poop part at least. It tracks pretty well with the green revolution of the 20th century, in part due to the increase in calories available thanks to synthetic nitrogen fertilizer. More food = more poop/more frequent poop. &gt;",0
<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> Ayyy love ya dog I’ll bring the legumes,0
<MENTION> girl you know it. legumes are my best friends,1
"<MENTION> Ha!! Mate, I do NOT call my fanny my ‘pork pie’",0
"<MENTION> <MENTION> It's like a baseline. You season EVERYTHING with salt and pepper and then add more shit depending on what you're cooking. I put salt and pepper on chicken, steak, pasta, rice, mac and cheese, mashed potatoes, veggies, just about everything",0
"<MENTION> Focus on the food. What you eat vs. the lifts. 

Eat whole foods, as raw as possible. 

For gym focus on doing the exercise correct and the full range of motion rather than the weight. The weight will come over time. 

Majority of what you’re gonna be doing is through the diet",1
"<MENTION> For 30 days all you eat is meat, fish, eggs, fruit, vegetables, nuts and seeds. No sugar alcohol,soy, gluten, legumes etc",1
"2. Eat #healthy:
The key to eat well is to fill your plate that has necessary nutrients but is low in calories. Include plant-based protein, fish, whole grains, nuts and healthy fats, yogurt etc. Limit sugar, salt and fats. Eat 5 servings of fruits and vegetables a day.#lifestyle",1
Bottled drinking water. Fruit or vegetable juice (of at least 90% by volume of juice of fruit or vegetables). Tea and coffee (unless ready-to-drink). Baby food and infant formula (for children under 12 months of age). All meats for human consumption (except savoury snacks (2/3),0
<MENTION> Wetin be organic food abeg,0
"<MENTION> yuki ten are kissing there was meat to be a kumon ,/////////3 i love kuimopdfskdnfknagkldsngknfgfjgafdg I LOVE YOUR ART SO MUCH IM GOING TO CRY AND SHRIVEL AT UR FEET",0
"<MENTION> I was vacuuming.

Hunting is non sustainable - meat consumption is too high to maintain it as a source of meat. Advocating it as a direct comparison is pointless.

Crops kill animals. I don't eat or buy meat. You buy meat. Farm animals also fed crops. Meat more animal deaths.",1
days like these i wanna order food,0
<MENTION> <MENTION> they sleep on time. eat healthy food. enough rest. less stress talaga compared sa pagiging idol.,0
<MENTION> Always use olive or coconut oil - cholesterol lowers,1
"Looking to buy a fruit and vegetable #juicer. Please recommend good - tried and tested options 🙏
Also pls retreat for good karma.",0
"Fitness Supplements are often BS and a waste of money.

BCAA’s? Eat meat.

Pre workout? Good sleep &amp; coffee.

Fat burners? Calorie deficit.

Multi-vitamins? Eat a whole foods.",0
"<MENTION> You can achieve that only focusing on food, however sport will help a bit, but not so much.

Focus on your calorie intake. Cut it by 10-20% of your norm (more &gt; faster weight loss &gt; less healthy &gt; more probability to return after). Eat a healthy amount of protein. Sleep well.",0
Dietary Health: Make your grains whole this March and skip the processed breads: better for your gut; better for your blood sugar.,1
"<MENTION> If all the trucks carrying goods to grocery stores and other retail stores were all electric, and all the manufacturing facilities were green that might be a valid premise, but they are far from that, hence the fuel costs increase the price of food and everything else.",0
"<MENTION> ORGANIC GHOSTS..

<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION>",0
"In fact, these attitudes are often undergirded by ""wellness""/alternative medicine beliefs, in which food, lifestyle, etc. are portrayed as having near magical power over your health, to the point that you can make your immune system ""healthy"" enough to resist infectious disease.",0
"<MENTION> 1 ) drinking 5 litres of water daily
2) morning walk and exercise 
3) eat healthy food Mostly vegetables 
4) yoga
<MENTION> 
Join:
<MENTION> 
<MENTION> 
<MENTION> 
<MENTION> 
<MENTION> 
<MENTION> 
<MENTION> 
<MENTION> 
<MENTION>",0
"<MENTION> 1 ) drinking 5 litres of water daily
2) morning walk and exercise 
3) eat healthy food Mostly vegetables 
4) yoga🤞🏻
<MENTION> 
Join:
<MENTION>
<MENTION>
<MENTION>
<MENTION>
<MENTION>
<MENTION>
<MENTION>
<MENTION> 
<MENTION>",0
"Eat foods rich in iron such as spinach, okra, sweet potato, whole grains, brown rice, prunes, raisins, figs, fortified cereals, tofu, soybean",1
<MENTION> You need to eat a diet high in dark green leafy greens and colorful vegetables. Lean proteins. Lots of water with 🍋. A good electrolyte powder. Read the labels of all prepared foods &amp; avoid high fructose corn syrup and food dyes. They sneak that stuff into everything even bread!,1
"<MENTION> <MENTION> Some on regular rotation...

Pasta gulagia which is just a simple olive oil and tomato dish.

Cauliflower pasta.

Shrimp pasta.

Breaded pork chops and mashed potatoes.

Chicken soup.

Cubed pan fried chicken and broccoli.

Chicken cutlets and kale.

Those off the top of my head.",0
<MENTION> <MENTION> Over and above a clean diet. Lots of veggies and green smoothie,1
"sw. probably like 45.9kg
end gw. ~43kg or less

small amounts of sweets and dairy
eat healthy foods (whole food, no junk/fast foods, etc)
4litre of water a day
workout everyday

if you  [need]  to, eat a little over limit to prevent binge. but work excess  [all]  off!",1
I need a plant based chef,0
Bruh they put kiosks in Steak ‘n Shake now???,0
"i also asked about the fruit trees at the garden centre. they cannot order one for me from the place (???) but they're getting in a new shipment like, next week. so i will have another look-see",0
"<MENTION> <MENTION> Not at all surprising, they enjoyed cow slaughter spectacle. remember??",0
meat-creature! please consume naturally occurring atmospheric gases. thank you hu-man.,1
"<MENTION> I prefer whole food complex carbohydrates, fruits, and raw honey as the fibers, mineral, vitamins, and active constituents modulate glucose/fructose metabolism. 

Refined sucrose isn’t necessary to a diet and doesn’t provide any benefit over whole food carbohydrates.",1
"<MENTION> The inflammation I experience is systemic, not just gut.
I also take a probiotic daily. (I also have microscopic colitis; this was recommended by my gastro.)
I do not tolerate FibreOne or Metamucil, but eat lots of chickpeas and other legumes.",0
"<MENTION> It does, as long as you get something with tofu/soy. The ramen I got has miso soup which is made from soy and the others are made from tofu. Anything with tofu/soy is full of plant based estrogen. It's not as good as HRT of course but it helps to increase levels overtime.",0
"<MENTION> Sweet Potato Chili is fantastic, or roasted in cubes with olive oil and berbere (sort of a cinnamon / cayenne tasting spice)",1
"<MENTION> <MENTION> I eat mostly whole starches and greens with some Tempeh and Fruit and lost 80lbs in 3 months. Carbs are not the issue, processed fats, processed carbs, and processed protein are. I am about 70% carbs, 20% protein, and 10% fat all from whole plant foods",1
<MENTION> In my opinion it's easier to over cook a steak than under cook it. I go medium rare and it's a time/temp battle every time,1
<MENTION> Non fully cooked food is definitely not good because it won't get rid of all the bacteria. Make sure it's heated all the way. I'd probably recommend broiling the veggies in the oven or sautee them with olive/vegetable oil on your fryer.,0
<MENTION> I'm going to make pork and beef meatloaf,1
"<MENTION> Waan dhaayey cunto.
As in very simply,“ I stopped food” because isn’t that veganism? Lol",0
"<MENTION> Ever since learning that toast can be fried in a pan in olive oil (thanks UK), that's the only way I eat it. Toast with a Maillard reaction crust is dreamy!",0
<MENTION> intense cardio. I eat healthy and have a good idea of calories in and quality of food.,0
"Pitta pacifying diet includes eliminating spicy, overly salty, oily foods. Increase green, leafy vegetables, whole grains and rice, and cooling spices like mint, fennel, coriander. Buttermilk after lunch is good too with a little ginger, cardamom.",1
<MENTION> <MENTION> <MENTION> It is so healthy. Brain food.,0
"<MENTION> Yep. Getting a stroke at a young age. Lol. I lost 20 kg in three months just by laying down in my bed. 
But really, after recovering, I just eat healthy food and no matter how much I eat I don't gain the weight back. Way much less salt, no MSG, no fast food, no instant noodles.",0
