,tweet,id,lang,score,topic
1719,"<MENTION> Stop Meat sales n all ths is ridiculous. Hope good sense prevails in <MENTION> ,It doesn’t help them one bit.Surprising all it’s top leaders remain silent.",1.5115907822091223e+18,en,0.6603447198867798,We should stop subsidizing meat
30024,"Listening to the HRW fatheads go on about #halal meat, one would think they are being forced to do so. If you don't want to eat something, don't. Or choose/start an alternative option. Don't ban others from selling what they sell or eating what they want. It's really simple.",1.511318759616643e+18,en,0.6594353914260864,We should stop subsidizing meat
1823,<MENTION> Stop making meat halal nad force restaurant and telling people to eat halal,1.511512600902873e+18,en,0.6586812138557434,We should stop subsidizing meat
4448,"<MENTION> Its also so obvious good meat is already expensive enough but to serve an agenda they will go after the whole food group.

After complaining these kind of taxes hit the everyone but the rich.",1.5102182743064658e+18,en,0.6582328081130981,We should stop subsidizing meat
1903,"<MENTION> Don't stop eating meat, just less bread and chips 🙂",1.5114389790061773e+18,en,0.6578493714332581,We should stop subsidizing meat
24273,"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> Let's say we're stopping with meat production. So we just butcher animals and the meat products start running out.
What are we going to replace the meat products with? Growing fruit and vegetables takes waaaay more space then growing cows and pigs.",1.5120152181840036e+18,en,0.6573734879493713,We should stop subsidizing meat
1915,<MENTION> Meat is gross and people should stop eating it.,1.5114311380400292e+18,en,0.6573319435119629,We should stop subsidizing meat
28974,"<MENTION> <MENTION> <MENTION> <MENTION> All in all, I’m pushing for more sustainable farming practices and local eating. You think if people stop eating meat, that would help fix the environment and that’s simply not true. Eating local and sustainable farming practices are the way to go.",1.5091809364281795e+18,en,0.6568131446838379,We should stop subsidizing meat
1777,"nnzrzl: Just do it straight u mofos, folks buying meat is adults, stop treating us with scams :|",1.511544441437315e+18,en,0.656444787979126,We should stop subsidizing meat
3746,"<MENTION> In the current system of mass meat production, and in consideration of possible ethical stances,  abandoning meat is certainly a respectable, even admirable, choice.  I did it for a year in the past but it won't be something I return to for a long while if ever, for many reasons",1.5107477532065014e+18,en,0.6540883779525757,We should stop subsidizing meat
3891,<MENTION> <MENTION> <MENTION> Cease meat production..,1.5092645945643704e+18,en,0.6540060043334961,We should stop subsidizing meat
28953,"<MENTION> <MENTION> Agree about the meat, but meat never been sustainable anyway

Totally disagree about property

BUY #BTC

Your only TRUE property (if it's on your own wallet obviously)",1.5098341052230042e+18,en,0.6527886390686035,We should stop subsidizing meat
4275,"<MENTION> <MENTION> Agreed. Except that this is a longer term, higher investment plan, rather than a simple action that can be taken by each person to make a collective 'dent' in the carbon footprint of the country. Then following it up with less meat per meal would help, certainly...",1.511711835677995e+18,en,0.6523301005363464,We should stop subsidizing meat
31972,<MENTION> <MENTION> Avoid processed meats too. Whole foods.,1.5118679597691412e+18,en,0.6520373821258545,We should stop subsidizing meat
1571,<MENTION> Please urge governments to put money into growing meat without the animal involved. There are millions &amp; millions  people who will NEVER go vegan &amp; so there has to be an alternative for those who won't stop eating meat. We have the technology to do this but little is progressing,1.5117075652683448e+18,en,0.6516367197036743,We should stop subsidizing meat
13025,in all seriousness meat alternatives are great and should be used within moderation 👍🏻,1.5115524129511342e+18,en,0.6513890027999878,We should stop subsidizing meat
1751,<MENTION> The Constitution doesn't say impose Halal meat.Half stop.,1.5115634119680492e+18,en,0.6511278748512268,We should stop subsidizing meat
3877,"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> Always prudent business practice to replace meat based means of production (i. e., profit maximization) with mechanical ones. So much less bother to deal with and no need to pretend caring.",1.5093671868752445e+18,en,0.651031494140625,We should stop subsidizing meat
3416,"and our existing meat producers unwilling to lose market share to any competitors (we already produce more meat than we consume and I can't imagine how the hell we could increase consumption more than we already have), will make sure this scenario stays entirely hypothetical",1.5111285002747003e+18,en,0.6494126915931702,We should stop subsidizing meat
30038,<MENTION> <MENTION> this is no surprise at all.  the aim is to remove meat as an option for food and force 'fake meat' on the populous.  Large Meat companies already own 'alternative' foods,1.511105656664707e+18,en,0.6490143537521362,We should stop subsidizing meat
3472,"<MENTION> <MENTION> And we might, as a bi-product, have a big increase in the supply of meat with a resultant drop in price.   Seems like a win/win to me.",1.510489819197186e+18,en,0.6482763290405273,We should stop subsidizing meat
3880,"<MENTION> THAT TOO!!!!! it’s also insane how there’s so much work, study and theory behind production just so the meat can be in the best condition just for a big part of it to be thrown away",1.509342830459822e+18,en,0.6481835842132568,We should stop subsidizing meat
1529,"<MENTION> <MENTION> Then stop exporting meat to foreign countries.
  Because mostly meat exporter companies are owned by Hindus.",1.5117370274772664e+18,en,0.6479824781417847,We should stop subsidizing meat
2099,"<MENTION> Here in Chicago , most meat sold is Halal , we have no choice , but to stop eating mutton.",1.5113299267624428e+18,en,0.6476719975471497,We should stop subsidizing meat
30107,"<MENTION> <MENTION> <MENTION> Ma'am, then you have never actually understood my point.
I have said multiple times that brutality on the farms must be stopped, but meat consumption is a reality.
People will die if we snatch their food without giving them an affordable alternative.
That's my only point in this.",1.510143397973037e+18,en,0.6466825008392334,We should stop subsidizing meat
1274,<MENTION> Let them do it..the Day they will realize that they have more voters who eat Meat then non eaters .These Gimmicks wil stop,1.5119846835587973e+18,en,0.6456479430198669,We should stop subsidizing meat
1775,<MENTION> <MENTION> <MENTION> <MENTION> Nice <MENTION> now I'm going to stop buying meat from you unless you totally and unambiguously stop buying and selling halal meat.,1.5115450720301998e+18,en,0.6445779800415039,We should stop subsidizing meat
1605,<MENTION> 1st they should stop beef/meat export ?,1.5116811583917711e+18,en,0.6444364786148071,We should stop subsidizing meat
2268,<MENTION> The U.S. could start with no longer subsidizing meat and dairy. That would be a move in the right direction. And also start subsidizing mobile farmers markets with organic produce in food deserts! 🥕 🥬 🍅,1.5100744547931054e+18,en,0.6427023410797119,We should stop subsidizing meat
4334,<MENTION> <MENTION> <MENTION> <MENTION> Good. Let us stop exports of meat. Meat is very very bad for the environment. Too much of carbon emissions. Europe is also planning to cut down.,1.5109116210229043e+18,en,0.6424199342727661,We should stop subsidizing meat
28865,"<MENTION> Ppl hate it when their perversion towards meat is challenged by a more humane, sustainable fact based nutrition.",1.511766842360148e+18,en,0.6418981552124023,We should stop subsidizing meat
2014,"<MENTION> People need to stop trying to recreate meat without the…ya know meat

Pause",1.5113834789940388e+18,en,0.6411539912223816,We should stop subsidizing meat
29995,<MENTION> <MENTION> Absolutely right we should all boycott the halal meat. I am not a huge supporter of meat anyways.  What about people who like to eat non veg and the kids who wants to eat non veg once in a while. Boycotting is not the only solution providing alternative is the actual solution,1.511671385663234e+18,en,0.6409969329833984,We should stop subsidizing meat
1960,"So many people “understand” the plight of animal welfare in the meat industry, and “understand” the huge environmental issues we’re facing ..yet they still refuse to stop eating meat 🤷‍♂️",1.5114088106776494e+18,en,0.6406360864639282,We should stop subsidizing meat
28880,<MENTION> We should eat meat from sustainable sources,1.5113787382772e+18,en,0.6396492123603821,We should stop subsidizing meat
1809,"<MENTION> ""In America, good health should be a right - not a privilege.""

Fixed it for you. Now stop trying to get rid of our meat source. Stop inflating prices. Stop pretending that y'all haven't lied about health and nutrition for decades. We see you.",1.5115222962462515e+18,en,0.6395683288574219,We should stop subsidizing meat
1697,"<MENTION> Sounds good, we'd been reducing meat intake for some time, until one day we realised we were ready just to stop. Felt fine. Still do have fish sometimes and some dairy which we buy organic &amp; higher welfare. Not perfect to some, but you don't have to live to anyone's expectations.",1.511604062793474e+18,en,0.638416588306427,We should stop subsidizing meat
4437,"<MENTION> If the Conservative party keeps raising taxes we will all be eating less, not just meat",1.511043831483056e+18,en,0.6373283863067627,We should stop subsidizing meat
1810,<MENTION> Stop consuming meat at the first place. Don't lecture us,1.5115217006592246e+18,en,0.6372174024581909,We should stop subsidizing meat
3538,"<MENTION> When on budget, start looking at non meat proteins to incorprate into your shopping cart. Often you can increase without meat aisle through other food groups.",1.5095862390239846e+18,en,0.6370264291763306,We should stop subsidizing meat
1768,I’m about stop eating meat so much,1.5115497982430536e+18,en,0.6368449926376343,We should stop subsidizing meat
13233,<MENTION> When these people realise halal is not only about meat? It is trillion dollars ecosystem... It will have serious consequences on local businesses if encouraged...,1.5104746051393577e+18,en,0.6367156505584717,We should stop subsidizing meat
1656,<MENTION> Open your meat shop and sell jhatke ka.. who is stopping u? But same way it’s our choice and you can’t stop us from eating halal meat..,1.5116366745810002e+18,en,0.6362878084182739,We should stop subsidizing meat
1345,<MENTION> <MENTION> Meatless? Please stop this trend. Go eat some grass or lettuce if you do not want meat.,1.5119006118008381e+18,en,0.635195255279541,We should stop subsidizing meat
3312,"<MENTION> <MENTION> So you want to increase the demand for grass-fed meat? Can we afford expansion of pastureland? Even if you wanted to keep the demand for grass-fed, it still requires an overall reduction in demand for animal products to eradicate the non grass-fed production methods, right?",1.5109916347413094e+18,en,0.6349107027053833,We should stop subsidizing meat
1700,"<MENTION> On the contrary Meat Industry needs to be destroyed in India for a more stronger Nation.

At least Hindus should stop consuming meat for all 365 days a year. This will do wonders for the country.",1.5116022903141663e+18,en,0.6339183449745178,We should stop subsidizing meat
3663,<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> And this not even true lol you know how much meat goes to waste now and they still dont lower production rates people aren’t even eating meat as much as you think they are,1.5113135776757391e+18,en,0.6338902711868286,We should stop subsidizing meat
2146,<MENTION> An easy way to stop people from eating meat. #Control,1.511304072674087e+18,en,0.6336824893951416,We should stop subsidizing meat
3807,"<MENTION> <MENTION> <MENTION> <MENTION> Meat production is killing the planet, you want to make  excuses to keep going, keep killing, keep taking babies from their mothers, keep eating 16 week old babies, just to make yourself feel better?",1.5100126977520476e+18,en,0.6331281661987305,We should stop subsidizing meat
23502,"The importance of meat in a balanced diet for tens of millions of people in our country cannot be overstated.

We need to consider the environment impact, which should lead more people to game meat.

It has a growing reputation as a sustainable food source.

Let's keep pushing!",1.5109002771420406e+18,en,0.6330375075340271,We should stop subsidizing meat
3458,<MENTION> <MENTION> <MENTION> needs to increase #SocialSecurity so that those subsisting on it at or near the poverty level can eat meat more than 3-4 times a week.,1.5106561572701348e+18,en,0.6329377889633179,We should stop subsidizing meat
3575,"To reduce the dependence on the re-supply of resources from #Earth, meat production in #space is necessary for future long-term space #missions, especially beyond LEO. 👨🏼‍🚀",1.5119620918880297e+18,en,0.6326181292533875,We should stop subsidizing meat
3886,<MENTION> <MENTION> <MENTION> <MENTION> OK I get what you are saying now. Although this does raise question if it'd possible to avoid this when feeding so many people? Economic efficiency and need for cheap food means this is just what meat production looks like?,1.5092918709748818e+18,en,0.6324533820152283,We should stop subsidizing meat
1881,<MENTION> We will decide for ourselves wether or not we eat meat. Stop pushing vegetarianism!,1.5114536247271342e+18,en,0.6318845152854919,We should stop subsidizing meat
1686,"<MENTION> <MENTION> ""if we alls top eating meat"" is unrealistic. we wont suddenly stop eating animal products. demand would slowly go down.
animals are specifically bred to be killed or milked. if we consume less animal products less animals will be bred, so there just will be less animals.",1.5116112413824369e+18,en,0.631584644317627,We should stop subsidizing meat
1453,<MENTION> <MENTION> I dont see why Id stop eating meat because I hunt and butcher it. On the contrary,1.511790501711827e+18,en,0.6310386061668396,We should stop subsidizing meat
30041,"<MENTION> <MENTION> Just stop eating meat. Or if you want an alternative, buy BEYOND Meat.",1.511074707021484e+18,en,0.6301878690719604,We should stop subsidizing meat
28879,<MENTION> <MENTION> If they find it more sustainable or cruelty free than the meat industry just let them live Lak 😩😂,1.5114027054949745e+18,en,0.630187451839447,We should stop subsidizing meat
1948,<MENTION> This is also part of the New Green Deal high gas prices intended for you to drive less high meat prices intended to stop you from eating meat sublimation,1.51141402272947e+18,en,0.6298781633377075,We should stop subsidizing meat
3369,<MENTION> Sadly this won't ever happen as if they were honest they'd realise we needed to increase red meat consumption which isn't exactly endorsed by the leftist blob that dominates our institutions.,1.5116900512221266e+18,en,0.6295267343521118,We should stop subsidizing meat
13014,"<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> People have been making meat alternatives for centuries for various reasons. If people want to eat a meat analogue that causes much less death and environmental destruction, what's your problem?",1.5116515023345664e+18,en,0.6293835639953613,We should stop subsidizing meat
3368,<MENTION> There are more ? If meat is so much important why is congress fighting for all increase in price of vegitables dal rice etc 😂,1.5116978684442132e+18,en,0.6292157173156738,We should stop subsidizing meat
1978,<MENTION> <MENTION> Yep. I like meat but want to give it up so I can stop contributing negatively to the planet. I also want a farm someday. Solid meat alternatives make that more possible. Yall will be okay lol,1.5114009158231204e+18,en,0.629114031791687,We should stop subsidizing meat
4375,"<MENTION> Regen Ag. Many people would be happy to alter their diet/eat more local, carbon sequestering foods if they knew what they were. We need ML for each region to discover the best low emission, low resource food options. Saying “just don’t eat meat” is not enough (tho the right idea)",1.5097923870479073e+18,en,0.6284582614898682,We should stop subsidizing meat
2200,<MENTION> If meat is the problem why not central Govt stop exporting of meat and leather items which is related to this. First. Ban all meat export from UP which is highest exporter,1.5112657450278953e+18,en,0.6273535490036011,We should stop subsidizing meat
13137,"<MENTION> <MENTION> <MENTION> OK. But that’s not enough to make the kind of difference which would get the majority off meat. So long as meat is less expensive, the plant-based stuff won’t really make it big. Why not take away subsidies from meat and give them to plant-based alternatives instead?",1.5106536765152584e+18,en,0.6272331476211548,We should stop subsidizing meat
18376,<MENTION> <MENTION> green healthy food,1.511720788423897e+18,en,0.7093765735626221,We should subsidize green nutrition
2332,"<MENTION> This country is over medicated, over fed (with an absence of real nutrition), over weight, and under educated about how poor our health and well-being really is.  Why isn’t our “green” movement more about our public and personal health and less about climate change?",1.509992033179644e+18,en,0.6546540856361389,We should subsidize green nutrition
23673,"<MENTION> Man the comments under here showcase just how good of a job the marketing team has done for a ""green diet"".",1.511082179425669e+18,en,0.6490025520324707,We should subsidize green nutrition
2327,"<MENTION> <MENTION> Look at those nutrition guides ... full house of green, yet people STILL parp on about soya being bad for you and that a plant based diet is expensive. Blah blah fucking blah.",1.5105731650717164e+18,en,0.6467897891998291,We should subsidize green nutrition
20057,"Investing in nature, green energy and food ensures that we become more independent and that it is the future 2/2 #impactors #IMPACTors #impactxp #ImpactXPToken #impact",1.510987388155306e+18,en,0.6352900862693787,We should subsidize green nutrition
2316,"------- the recent study from the National Institute of Nutrition, many people do not include enough green vegetables in their diets.

　　(A) Even though

　　(B) In case

　　(C) Only if

　　(D) According to

#英語 #TOEIC",1.5115418548814316e+18,en,0.6351982355117798,We should subsidize green nutrition
19521,"<MENTION> <MENTION> The ‘green’ energy isn’t always as eco-friendly as marketed

Also not much of financial incentive for companies to shell out billions in (inefficient) infrastructure to switch, just yet at least

Energy, food, water- these 3 are the biggest issues any nation needs to address",1.5117513003582874e+18,en,0.6317555904388428,We should subsidize green nutrition
23687,Wanna which up my diet for good now might go green,1.5110106868010066e+18,en,0.629522979259491,We should subsidize green nutrition
23651,"<MENTION> Green diet appears to work incredibly great.
Sure recommend.",1.5113707557826847e+18,en,0.629321813583374,We should subsidize green nutrition
23741,"<MENTION> Surely it would be okay to include green vegetables in a meat based diet and exclude the carbs, sugars and seed oils?",1.5102148678815375e+18,en,0.6273781061172485,We should subsidize green nutrition
20210,<MENTION> If food could vote Green…,1.5107719562530324e+18,en,0.6246689558029175,We should subsidize green nutrition
19779,<MENTION> Eat only green food.,1.5113987744506716e+18,en,0.623833179473877,We should subsidize green nutrition
19578,Our first priority is to offer a green space for the community to grow food. But we’re just as passionate about teaching others to garden. We believe that growing your own food is a right that we should all have access to…no matter how much space we have.,1.5116871720002068e+18,en,0.6236315369606018,We should subsidize green nutrition
23684,Shoutout to my gardener for keeping my diet green,1.5110181742879498e+18,en,0.6226458549499512,We should subsidize green nutrition
2276,<MENTION> <MENTION> Green solutions are fine but it will take years to implement them. Our oil and gas are the cleanest in the world. Makes no sense to subsidize socialist nations and make our fellow Americans suffer.,1.5115400437137654e+18,en,0.621449887752533,We should subsidize green nutrition
20209,<MENTION> I thought you were going to say in light of food shortage Biden says we would all be getting a ration of Soylent Green..,1.5107750036665958e+18,en,0.6200248003005981,We should subsidize green nutrition
19825,<MENTION> health is when green food 🥺,1.5113476354451948e+18,en,0.6199572682380676,We should subsidize green nutrition
2289,<MENTION> <MENTION> <MENTION> Even better: **HURRY UP** with those green alternative energies and subsidize them; make sure that energy companies INVEST HEAVILY in them!!! 🌬️🌞🔌⚡️🥰,1.509985067103232e+18,en,0.6152280569076538,We should subsidize green nutrition
19917,I’m on a all green diet and i ain’t talking food,1.5111862255872328e+18,en,0.6114891767501831,We should subsidize green nutrition
19548,<MENTION> Food prices we can cope with.. Energy prices is a lot to do with all this green crap they've been spouting. Scrap that and energy bills will reduce,1.5117244388652564e+18,en,0.606779932975769,We should subsidize green nutrition
2265,"<MENTION> It would also be nice if our government could begin subsidizing more sustainable options (like plant based meat) vs things like beef

but... i digress",1.5117880364383027e+18,en,0.6064248085021973,We should subsidize green nutrition
2308,"<MENTION> <MENTION> <MENTION> <MENTION> Except we can't yet. We don't get have the capabilities to sustain green energy. Nor can we afford it. We subsidize much of Europe, it would destroy us thanks to the anti-American people in charge of our funds.",1.5091687275012915e+18,en,0.6045880913734436,We should subsidize green nutrition
19553,<MENTION> I’ll be back to you on the “green nonsense” when food runs out because we can’t sustainably grow it any more.,1.5117178624231178e+18,en,0.6045259833335876,We should subsidize green nutrition
23683,<MENTION> shout out my plug for keeping my diet green,1.5110213369902653e+18,en,0.6021185517311096,We should subsidize green nutrition
20022,"<MENTION> To date, everyone isn’t yet benefitting from the global food system with millions still not having enough to eat. Certain agricultural practices are also continuing to add to the unsustainable levels of green house gas emissions, further damaging the environment 
NUTR0800522",1.5110309096796774e+18,en,0.5999675989151001,We should subsidize green nutrition
5283,"If this green initiative bs isn’t stopped, your going to lose everything due to taxes and regulations.  The biggest loss is going to be the loss of family farms and food supply.  Government run farms will control food production abs you will be in bigger trouble than ever thought",1.509529778696573e+18,en,0.5999399423599243,We should subsidize green nutrition
4328,"Beyond Meat failing in fast food chains is the perfect case study of how disconnected green-types are from the average American. You serve the same cheap crap but just make it lower carbon (questionable, but i'll give them this) and are surprised consumers aren't swayed",1.5110118730005012e+18,en,0.599831223487854,We should subsidize green nutrition
19961,"They're not predicting a food shortage, they're manufacturing one, so we can all get a green new meal.",1.5111057401776538e+18,en,0.5987278819084167,We should subsidize green nutrition
9724,"<MENTION> <MENTION> Because, while Green policies are good in principle, a) they currently do not encourage rural development, and b) the country can't afford a carbon tax at the moment. They all say no point in pushing it out! Ridiculous. We are in unprecedented times, which will pass. Do it then.",1.5114451844495483e+18,en,0.5973949432373047,We should subsidize green nutrition
2292,"<MENTION> You subsidize big ag, big pharma and big oil but you do very little for the average American to go green. I sacrificed a lot just to have my home on solar but I cannot afford the batter to store that energy. The utility company takes the surplus solar collected. Change needed.",1.509900382323028e+18,en,0.5961464643478394,We should subsidize green nutrition
19565,<MENTION> Now hold on most green food is great tasting,1.5116999457907876e+18,en,0.5942052006721497,We should subsidize green nutrition
23669,<MENTION> With us being green generators or however one wants to label it. Complied with energy efficient technology. And people's choice of diet. We might be able to strike back at companies that just layer themselves. And really be independent. Or at least more self sufficient.,1.511120397042864e+18,en,0.5904953479766846,We should subsidize green nutrition
20161,Clean food green food healthy food 🍀🍀☘️☘️🌿🌴🥑🥒🌱🌳🥦🥦🍃🍉🍏,1.5108639551280988e+18,en,0.5904528498649597,We should subsidize green nutrition
29563,"<MENTION> <MENTION> <MENTION> <MENTION> Green vegetables, Whole grains, etc.",1.5118084702358405e+18,en,0.5900571346282959,We should subsidize green nutrition
12084,"<MENTION> <MENTION> Well, I agree, thank you for sharing. Now, Let us talk about diversity of food, which kind of policies ensures sustainable production and consumption? How can we influence formulation and implementation of such policies?  <MENTION> <MENTION> <MENTION> #FoodPolicy.",1.5119719151492915e+18,en,0.589913010597229,We should subsidize green nutrition
23693,<MENTION> <MENTION> But I've been strictly on green diet 🤣🤞🤞🤞,1.5109409380252508e+18,en,0.5896584987640381,We should subsidize green nutrition
4710,<MENTION> Green capitalism doesn’t advocate for reduced consumption - it advocates for increased consumption with increased efficiency/decreased carbon intensity of production.,1.5106672106452828e+18,en,0.5864976644515991,We should subsidize green nutrition
16296,<MENTION> Green Vegetables +. Fruits + proteins,1.5119372127613993e+18,en,0.5850306749343872,We should subsidize green nutrition
2340,<MENTION> <MENTION> <MENTION> <MENTION> <MENTION> <MENTION> What is wasteful is the accumulation of massive wealth in the hands of a few. Liberate those resources and we can have quality public transportation and nutrition for all. An equitable economy would be way more beneficial to a green transition than the status quo.,1.509238476205613e+18,en,0.5849416255950928,We should subsidize green nutrition
24041,"<MENTION> We should all be concerned that fruit, vegetable and herb growers and mid and small farms do not get anywhere near enough subsidies if any. That fruit stands and open air markets don’t exist in impoverished neighborhoods and rural and don’t get subsidies",1.51104702390195e+18,en,0.5846061706542969,We should subsidize green nutrition
