,tweet_id,labels,claim_expert1,evidence_expert1,argumentative_expert2,claim_expert2,evidence_expert2,tweet
32,1178250044505493504,1,1,1,1,1,1,@agentsinaction @Clauduella_ella @rahmstorf @parents4future @sciforfuture @FridayForFuture @Fridays4future Nene nur über das Klima und nein würden sie nicht! Deswegen Debatte!
33,1177624746978099200,0,0,0,0,0,0,@FFF_Koeln Nun der Beweis zur Vermutung: #fff will unter dem Deckmantel des #Klimaschutz  nichts weiter als den #sozialismus mit extrem linken Organisationen durchsetzen.
34,1176822711437463553,1,0,1,1,0,1,"Die IPCC-Wissenschaftler betonen, dass diejenigen, die am wenigsten für den Klimawandel verantwortlich sind, am stärksten von den Veränderungen im Ozean und in der Kryosphäre betroffen sind. #Klimawandel #IPCC #SROCC"
35,1179137861016281089,1,1,1,1,1,1,@a_nnaschneider Ich bin mit dem Klima zufrieden wie es ist und wie es kommt! Für mich braucht niemand und schon garnicht auf meine Kosten das Klima zu retten!
36,1180038641130840064,1,1,1,1,1,1,"@razerrath @WernerFuchs_CH @solarpapst @DB_Bahn @glouki @VCDeV @sciforfuture @PIK_Klima @maithi_nk @Luisamneubauer @carla_reemtsma -weniger Autos
-LKW-Transport-CO2 = 5 x Bahntransport-CO2 -&gt;Güter auf die Bahn
-kleinere Autos für den Rest-Verkehr

Letzteres insbesondere für den Pendler. Sein Interesse: warm und trocken auf die Arbeit zu kommen - 
 ist dafür eine 5sitzige Familienkutsche notwendig?"
37,1176926053329264641,1,1,1,1,1,1,"@PrimeLindner @doenerspiess Menge und Preis sind ja zwei voneinander abhängige Parameter. Begrenzt man die Menge, steigt der Preis; erhöht man den Preis, sinkt die Menge.

An welcher der beiden Schrauben man dreht, ist mir und dem Klima herzlich egal."
38,1177807245670801409,1,1,1,1,1,1,"@EndosListener @hschmalzl @M_T_Franz Ihre Aussagen sind #FakeNews. Das Gegenteil ist richtig.
sogar wenns richtig wäre würde es an den  FAKTEN:
Nur Kernkraft ist Klima-, Umwelt &amp; menschenfreundliche Energiequelle 
nichts ändern. 
Sie sind nicht gut informiert. Mehr Infos zu den Fakten hier: https://t.co/cXtrR239ea"
39,1180154525895872515,0,0,0,0,0,0,"@the99100 Nee, ich hab Klima und Ministerien"
40,1178697254082879489,1,1,0,1,1,0,@dannymcneil26 @Regina01589661 @DanijelMajic @AlfimWesten Die Linken regieren seit 10 Jahren in Brandenburg mit. Da ist wenig fürs Klima passiert...
41,1178230040598863872,1,1,0,1,1,0,"@BeniFischer In diesem Fall geht es wohl darum Maßlosigkeit und Dekadenz sichtbar zu machen. 
#FridaysForFuture 
#Klimastreik 
#Klimawandel 
#autofrei"
42,1179457483485728768,1,1,0,1,1,0,
43,1178214157742727168,1,1,1,1,1,1,"@a_nnaschneider Die einen malen die Klima-Appokalypse aus, die andern die gesellschaftliche Apokalypse. Gleiches Niveau. Kluge Lösungen unwahrscheinlich, da die wertvolle Zeit damit verbracht wird, Tweets zu ejakulieren. Das Tweetozän ist die Apokalypse."
44,1178917750321926144,1,1,1,1,1,1,"@polenz_r @misanthrop40 Wenn ich meine CO2 Bilanz ansehe und die der viel Kinder von heute. 🤔

Abends hatte ich eine Leselampe und ein geliehenes Buch, keinen TV und Streamingdienste. 
https://t.co/5ygSZb08Du"
45,1179308657688924160,1,1,1,1,1,1,"@KRogenhofer @klima_vb @EcologicalEcon @vanderbellen S. Stagl (@EcologicalEcon): In der ökologischen Ökonomie ist die Natur die Basis. Wenn diese Basis nicht funktioniert, funktioniert auch die Wirtschaft nicht.

Dieses Umdenken brauchen wir, damit wir zukunftsfähig sein können.

#KlimaschutzZuerst #NRW19 #RegierungForFuture"
46,1179998712329916416,1,1,0,1,1,0,"@Skyrgamur Zwischen ""Was geht mich das Klima in 100 Jahren an?"" und ""Wir müssen Babies essen"" gibt es aber noch eine komplette Bandbreite an ""Panik"", die auch zu vernünftigen Lösungen führt.
Momentan brauchen wir bei der #Klimakrise allerdings noch deutlich mehr Panik bei den Politikern."
47,1176891299225636866,0,0,0,0,0,0,@JohnDocJudge @PodiniAndrea @AfD Inwiefern ist Atomkraft an sich nochmal umweltschädlich?
48,1176932202929635328,1,1,0,1,1,1,"@DO3ikGCYrB8kbJ2 Das ist ne Sekte
BEREUT BEREUT Eure Sünden oder ihr werdet vom Klima gerichtet
BEREUT Ketzer
BEREUT ihr Sünder"
49,1177160348224430080,1,1,0,1,1,1,"@HerrLuehmann Niemand leugnet, die Tatsache, dass das Klima sich wandelt. Es gibt nur ein paar Wahrnehmungsgestörte, die in ihrer #Hybris dem Menschen die Schuld daran geben wollen 🙃"
50,1177827405362270208,1,1,1,1,1,1,
51,1177278876852137984,1,1,0,1,1,1,"@Antiaktivist1 @JL_4954 @Umwelthilfe @klima_allianz @ConstZerger Eben nicht. Deutschland hält sich nicht an deren Klimaziele während China das macht. China hält das Pariser klimaabkommen ein, Deutschland nicht. China setzt auf erneuerbare Energien und veboten von Verbrennungsmotoren. Deutschland nicht."
52,1178999877159833600,1,1,1,1,1,1,
53,1179696531915644928,0,0,0,0,0,0,"@NinaScheer_SPD @parents4future Liebe @NinaScheer_SPD Die @spdbt ist seit Jahren Teil der Regierung. Zwickt den Ar... zusammen, weg von Machtpolitik und zeigt den Pfeifen von der @cducsubt wo der Hammer hängt. Setzt echten Klima- und Umweltschutz durch! Sonst: #neuwahlen"
54,1178283280589889536,1,1,0,1,1,0,
55,1178732364526170112,1,1,1,1,1,1,
56,1177283583540703232,1,1,0,1,1,0,
57,1178296776585072640,1,1,1,1,1,1,"@welt Whataboutism was er von sich gibt. Die besseren Umstände im Heute die er anspricht sind wahr, und trotzdem ist die sichere Zukunft der jungen Menschen bedroht, weil eben diese eine Gefahr Jahrzehnte lang mehr oder weniger ignoriert wurde, da man sich nicht an einen großen Wurf"
58,1177127166779232256,1,1,0,1,1,0,"@voglerk @Linksfraktion 'Österreich hat den Klimanotstand ausgerufen. Mit der symbolischen Maßnahme erkennt das Parlament ""die Eindämmung der Klima- und Umweltkrise und ihrer Folgen als Aufgabe höchster Priorität"" an.' 
Was bringt so ein 'Klimanotstand'? Und warum gibt es keinen 'Armutsnotstand'?"
59,1179641123209383941,1,1,0,1,1,0,
60,1176962699277635585,1,1,0,1,1,0,"@Karl_Lauterbach Richtig. Und mit dem #Klimapaket sind #CDU, #CSU und #SPD gerade dabei auf *ganzer* Linie zu versagen."
61,1178330830101504000,1,1,1,1,1,1,
62,1177221636329803778,1,1,1,1,1,1,"@ImmobilienUSA @search_mk @AfD @Joerg_Meuthen ""gesteinigt und geächtet"" wohl kaum. Eher sind ihre Studien nicht durch Peer-Review gekommen. Unter anderem, da ihre Methodik fehlerhaft ist, oder diverse andere Fehler in ihrer Studie vorkommen."
63,1180069212548714501,1,1,0,1,1,0,
64,1177232861700775936,1,1,0,1,1,1,"@AlmanKartoffel1 @SchmalzTatjana @Friday4Hubraum Jemand der ganz klar einen fake Namen benutzt kauft man seine Entrüstung natürlich voll ab ""ironyoff"" außer Unterstellungen und beleidigungen von sogenannten ""echten"" Klima Aktivisten konnte ich bisher keine echten Ansätze und Vorschläge wahrnehmen. Schon arm!"
65,1179427879215665153,0,0,0,0,0,0,"@JB_Sincera @EuRo4242 😂und Wetter haben wir ja meistens, wenn nicht sogar Klima bzw kaputte Klimaanlagen..."
66,1179025039087288326,1,1,1,1,1,1,"@maxim_k @tom_krebs_ @PIK_Klima @MCC_Berlin @SVR_Wirtschaft In der Realität lässt sich alles umsetzen, wenn man es WILL. Sieht man doch tagtäglich."
67,1180086604737781760,1,1,1,1,1,1,
68,1178340334264356864,1,1,0,1,1,0,@thepeg8 @WDR Freitags geschwänzt? Wenn ich mir den Beitrag so ansehe.... JA!
69,1179501928868454400,1,1,0,1,1,0,@siegstyle Kein Einsatz fürs Klima sondern Missbrauch einer psychiatrisch kranken Jugendlichen durch eigene Eltern oder einer bis dato unbekannten Ausbeuterfirma!!
70,1179032620144852995,1,1,1,1,1,1,"@SvenjaSchulze68 Das #Klimapaket ist der sprichwörtliche Tropfen auf den heißen Stein, der wortwörtlich verpufft. Anstatt das Versagen der #GroKo schönzureden, sollte die @spdde sie verlassen und ihren neoliberalen Irrweg verlassen. Sonst wird es 2021 ganz schwer sein, wiedergewählt zu werden."
71,1179017935546994688,1,1,1,1,1,1,"@PaulZiemiak @CDU Das ist einfach nur peinlich was die Regierungsparteien derzeit abliefern! Ob Klima, Großprojekte, Infrastruktur, Gesundheit... Überall Reförmchen, Versagen und anschließend wird alles schön geredet. Einfach unbegreiflich!"
72,1179028047955136512,1,1,0,1,1,0,"@TStraeter44149 @Gunster @Schroeder_Live Beim Klima wäre es schon blöd, wenn wir nicht in die gleiche Richtung denken.🤔🌈"
73,1177468027446550528,1,1,1,1,1,1,"@Julischka_C @dnn_online @stadt_dresden Ich fühle mich auf dem Rad generell unsicher, weil ich grundsätzlich zu eng überholt werde. Dieses Klima, in dem Regeln so frei ausgelegt werden, tut niemandem gut."
74,1179357691040407557,1,1,0,1,1,1,"@tagesschau Das muss dieser verdammte Kapitalismus sein. Zum Glück haben wir diese linksradikale #FFF-Bewegung, die unter dem Deckmantel der Klima-Hysterie für den Sozialismus kämpft, damit wir alle schon bald gleich arm sein werden."
75,1177129103968940033,1,1,1,1,1,1,"@ndaktuell SPD zeigt sich offen? Mit 20€ anstatt 10€ Co2 Abgabe? Dies ist eine etwas mehr ambitionierte Sterbehilfe fürs Klima, als die beschlossenen 19€..unsere Erklätung, Wer nicht will und darf, der tut auch nichts.."
76,1179497689119121411,1,1,1,1,1,1,
77,1178292710240931840,1,1,0,1,1,0,@pepper46477330 @JensHagen12 @China_Welt_News die Deutschen im Gruenen-Fieber..... ist aber nichts für's Klima....
78,1177140315611959296,1,1,0,1,1,1,
79,1177855452241113088,1,1,1,1,1,1,
80,1178664255719198721,1,1,0,1,1,0,"@CordSchmelzle Es wäre zumindest ein Anfang in Sachen Ehrlichkeit zuzugeben, dass sich Deutschland damit für Kohle und halt auch gegen das Klima entschieden hat."
81,1178352658597531648,1,1,0,1,1,1,"@Sustainche @HBraun Es fehlt also ""NUR"" noch ein bewerteter #Maßnahmenplan, um diese Ziele zu erreichen.
Wo finden wir die Werte zum #Kohleausstieg von 02/2019 und #Klimapaket 09/2019 und wann werden diese ins Gesetzgebungsverfahren eingebracht?"
82,1180111544677552129,1,1,0,1,1,1,"@AKS03350356 @cem_oezdemir @FDPBW @EUTheurer Ich empfinde eine tiefe Verantwortung für die nachfolgenden Generationen.
Und ich bin der Meinung es ist unsere gottverdammte Pflicht es hinzubekommen dass wir eine erfolgreiche Wirtschaft mit einem nachhaltigen Klima und Umweltschutz vereinigen"
83,1177479387173670912,1,1,1,1,1,1,
84,1179758616372531202,1,1,0,1,1,0,"@MasseyFriend @Tom_de_Belfore @derfreitag @GretaThunberg Vor allem Klima Krise.
Das der Mensch nicht so weiter machen kann, ist auch klar. Geben Sie den Hysterikern einige Tipps, wie Sie Ihr Konsumverhalten ändern können. Sie haben da doch einige parat? Oder schwimmen Sie in dem Konsum - Wirtschafts System, gehorsam mit?"
85,1177650822550884353,1,1,1,1,1,0,"@MarazLaszlo Sehr gelungen und wirklich schön! Bestimmt viel Handarbeit. Für das Klima wäre super, wenn wir in ein Zeitalter vor der Industrialisierung zurückkehren könnten. Das soll jetzt aber nicht die Vision der Naturschutzorganisationen für Industrieregionen wie Europa sein oder? https://t.co/xBPDpUUCRe"
86,1180032606143946752,1,1,1,1,1,1,"@DerGertner @enzoro53 @ZDFheute @FridayForFuture Wer hasst denn seine Kinder?
Ich halte von den Demonstranten einfach nichts, denn ich hasse Leute, die nur labern, aber selbst nichts tun. Wer dort dabei ist, aber selbst Nichts aktiv fürs Klima tut, wird von mir und vielen anderen einfach nicht ernst genommen. LG ein 21 jähriger"
87,1179401335277572096,1,1,1,1,1,0,"@BayernLB @Jue_Michels Man muss sich sehr fragen, ob diese gebildeten Damen und Herren, den Unsinn welchen diese verlauten lassen, selbst glauben. 
Wo bitte ist der Sach(Verstand) dieser Leute geblieben. Wahrscheinlich ist das Hemd des grünen Ministerpräsidenten Söder näher, als die eigene Hose."
88,1177514956733829123,1,1,1,1,1,1,"@TKuban96 Dann macht eurer Sozialdemokratischen Mutterpartei mal ein bisschen mehr Druck, Marktwirtschaft und nicht Klima muss in Zeiten einer drohenden Rezession wieder in den Fokus gerückt werden."
89,1179129234230521857,1,1,0,1,1,0,"@WIKIPEDIA__DE @DWD_klima @ddominik10 @rahmstorf das gesamte ""heilige Rothe"" Skeptiker-Verschwörungsuniversum basiert auf diesem grotesken Mißverständnis."
90,1177721658884399106,1,1,0,1,1,0,"@Ni0z @MauriciusQ Den Menschen kann das Klima auf der Steinkugel in 50 oder 100 Jahren peng sein, wenn Verteilungskonflikte zu Kriegen oder Hungersnöten führen, die in 10 oder 20 Jahren hunderte Millionen das Leben kosten. Dann kannste das tolle Klima..."
91,1178265868654010368,1,1,0,1,1,0,"@klbmg @FFFChemnitz @klima_netz Nicht wir, sondern die 26800 Wissenschaftler*innen von @sciforfuture :)"
92,1177512372820250624,1,1,0,1,1,0,
93,1178916946449973248,1,1,1,1,1,1,
94,1177316968766091266,1,1,0,1,1,0,
95,1178575239585914881,1,1,0,1,1,1,"@Stohrm2 @BenSei @sklave_david @karlheinz_e @AfD Nein, ich meine nicht damit, dass Grünen-Wähler die @AfD 🤢🤢🤢wählen könnten! Es geht um das Merkmal Klima (nennen die Braunen „Umwelt“). Mit dem Thema wollen die Nazis neue Wähler generieren bzw. die Zweifler in den eigenen Reihen beruhigen..."
96,1179021938045411330,1,1,0,1,1,1,"@LudgerWess @schillipaeppa Ich denke #Glyphosat steht auch nicht wegen der CO-Bilanz in der Kritik, sondern weil es giftig und krebserregend ist. Die #Klimabilanz der industriellen Landwirtschaft ist mit oder ohne dieses Gift von #Bayer katastrophal."
97,1178613951162175489,1,1,0,1,1,0,
98,1176966667995373570,1,1,1,1,1,1,"@xer48707841 @tombear_thomas @tagesschau Pflanzen haben wesentlich größere Probleme, das ist richtig.

Bei Umweltkatastrophen, welche sich massiv auf das Klima auswirken sterben in der Regel zuerst die Spezialisten unter den Tieren aus, z.B. der Panda.

Tiere wie Ratten, Wildschweine usw, haben Chancen, oder..."
99,1179590875812372480,1,1,0,1,1,0,
100,1178664463261687808,1,1,0,1,1,1,
101,1179502370797113353,1,1,0,1,1,1,"Wer sich fürs Klima interessiert, muss Anthropologen lesen und sehen, dass Menschen erstens für alles Lösungen haben und zweitens sodann das nächste Problem am Hals. So ist das eben, wenn man bei Verstand ist. Wem das zu negativ klingt, der muss ja keine Anthropologen lesen. 2/2"
102,1177866049536049154,1,0,1,0,0,0,"@TichysEinblick ..😂😂
..v A wenn als ""EINZIGE LÖSUNG"" der #Regierung #BundesTag  das bekloppte #EAuto #ElektroAuto die #UmweltZerstörung und #KlimaWandel ganz Greening Blender Like in die anderen Kontinente auslagert..  oder @CDU @cducsubt @CSU @csu_lt @CDU_CSU_EP
@jubayern"
103,1177292692507844609,1,1,1,1,1,1,"@_FriedrichMerz Lieber Herr Merz, ich kann das Wort KLIMA nicht mehr hören und das kleine Klima-Monster nicht mehr sehen. Ich glaube wir haben im Moment andere Probleme und das wissen Sie auch!"
104,1177798071134105600,1,1,0,1,1,1,"@OlliLuksic So weit ist es in diesem Land schon.Dank Klima,,debatte""die ja keine Debatte mehr ist sondern immer mehr zum Klimakkrieg wird oder sogar schon ist🤬🤬🤬🤬🤬"
105,1178347302559391750,1,1,1,1,1,1,"@BonnerGuido @cynicalAxolotl @J_B_oo7 @M_T_Franz @EnricoCaruso @FranzStrohmeier @rahmstorf @Die_Gruenen @RealLeicaManiac @bauhausinfo Erstens ca  7. Jahrhundert v. Chr dazu zum nachlesen https://t.co/jooofcPN15
Da stehen auch 3 bis 4 m also jetzt nichts Neues für die Menschheit aber Panik wir gehen unter wir werden gegrillt 
War also eine ganz schlimme Zeit die der alten Römer"
106,1179038572432617472,1,1,1,1,1,0,"@yhvhie @Martinho_Silves DAs du überhaupt geboren wurdest ist ein Wunder. Jedenfalls laut den Klima Propheten der letzten 30 Jahre. Mach dir mal keine Gedanken, deine Generation fällt auf diesen Unsinn genauso rein wie die vorherige. Kein Grund zu verzweifeln. https://t.co/PBFjSOIxVQ"
107,1177604896201293824,1,1,0,1,1,1,@tagesschau Richtiges zum Thema Klima kommt natürlich nur von den Lieblingen der ARD: den grünen Energie- und Finanz-Experten Kobold-Baerbock und Pendlerpauschalen-Habeck.
108,1179431673580183553,1,1,1,1,1,1,
109,1177160682057412609,1,1,0,1,1,1,"@MarcDaub @AfD In Deutschland wird das kaum spürbar sein. Vielleicht werden Portugal und Griechenland überschwemmt, Produkte aus Afrika wird es nicht mehr geben und noch mehr strömen nach Europa. AfD schreibt das nicht dem Klima und Krieg zu, sondern unserer Politik und ""linksgrünversifften"" xD"
110,1179122191868268545,0,0,0,0,0,0,"@spotdrossel @DWD_klima @TanjaSnow4 Die Wissenschaft:
(Ihre MWP ist ganz leicht zu erkennen) https://t.co/tVg1i7S2MX"
111,1177639762959708160,1,1,0,1,1,0,"@AliCologne Ich werde nie verstehen wieso Menschen glauben sie könnten das Klima beeinflussen, natürlich müssen wie die Umwelt schützen, aber es wird keinem gelingen das Klima zu ändern"
112,1177223384591228928,1,1,1,1,1,1,
113,1178979244417978368,1,1,0,1,1,0,@Dschingis_Hahn @heuteshow Die Größe ist was es beeindruckend macht. Aber es wurde nicht impliziert das die Klima Änderung schuld wäre. Also wenn es sie nicht interessiert scrollen sie einfach weiter.
114,1178667492694249472,1,1,1,1,1,0,@maggos_Eleven Das mit Afrika ist gut fürs Klima also alles ok.
115,1177181865284952064,1,1,0,1,1,1,
116,1178262453257457664,1,1,1,1,1,1,"@P1R4T3N @Aland1783 @SandraLeurs @DB_Bahn Das Problematische sind u.a. das fehlende ausgewogene (strukturelle sowie finanzielle) Gesamtkonzept und die Fokussierung auf bestimmte Technologien.

Momentan bestimmen Dogmen das Thema Klima und die Evidenz bleibt auf der Strecke. Auch bei dem Demonstrierenden"
117,1180068098193395716,1,1,1,1,1,1,"@Schmitz441 @schnellenbachj Ich halte Klimaforscher schon für Kompetent, nur nicht jeden.
Spätestens dann wenn es um Fördergelder geht, wird alles gesagt was nützlich ist damit Geld herein kommt. Klimaforscher wollen auch leben und in die Malediven reisen, SUV besitzen und und und ..."
118,1179686647098683392,1,1,1,1,1,1,"@TerliWetter @klima_allianz Dass Kipppunkte jeglicher Art unumkehrbar sind, lehrte schon Dennis #Meadows in ""Grenzen des Wachstums"", dessen 30-Jahre-Update ich habe. Und ich habe dieses Buch, obwohl staubtrocken geschrieben, gierig gelesen. Wer zwischen den Zeilen lesen kann, wird mehr erfahren! https://t.co/ose533gGmi"
119,1180103422084825089,1,1,0,1,1,1,"@Not1Proud @sebulino @ToKaEmPa @EskenSaskia @spdde @HeikoMaas @MiRo_SPD @c_kampmann @kahrs @lisasteinmann @lena21th @Julia42833681 @JulianJanssen04 @Susanne45217800 @goldaufweiss @SPDbewegt @ManuelaSchwesig @dietmar_danz @larsklingbeil Ich war auch schon in solchen Kesseln. Die Politik hat diese Verhältnisse immer toleriert. Putzigerweise denkt man heute angesichts von #FridaysForFuture und #AfD ganz anders über #Klima und #Linke. 😀
30 Jahre zu spät, aber immerhin. Man soll die Hoffnung nicht aufgeben 💪✊"
120,1176878469894070277,1,1,1,1,1,1,"@AfDimBundestag Mehr als 500 Wissenschaftler, und ein ehemaligerBremer Umweltsenator.... AfD, ihr seid nur noch albern und armselig. Ihr seid ein kleines, trauriges Häufchen mit einer auf nichts ernsthaftem basierenden Mindermeinung. Haltet euch besser raus, keiner nimmt Notiz von euch"
121,1178698271881072640,1,1,0,1,1,1,@tazgezwitscher Und auch keine Papierausgabe mehr drucken? Der Internetdatenverkehr belastet aktuell die Umwelt mehr als der gesamte Fluggverkehr. Sicher stellen sie auch ihre online-Ausgabe wegen Klima ein?
122,1179287227488227335,1,1,1,1,1,1,"@bianca_stst @JHaakona @chrisi3490 @GrumpyEmmi Und wie kommst du darauf? Nicht mal IPCC spricht davon. Allein schon ""Das Klima verändern"" wie das denn?"
123,1178050593715314689,1,1,0,1,1,1,
