tweet_id,argumentative_expert1,claim_expert1,evidence_expert1,argumentative_expert2,claim_expert2,evidence_expert2
1177181865284952064,1,1,0,1,1,1
1178262453257457664,1,1,1,1,1,1
1180068098193395716,1,1,1,1,1,1
1179686647098683392,1,1,1,1,1,1
1180103422084825089,1,1,0,1,1,1
1176878469894070277,1,1,1,1,1,1
1178698271881072640,1,1,0,1,1,1
1179287227488227335,1,1,1,1,1,1
1178050593715314689,1,1,0,1,1,1
1179990318583820288,1,1,1,1,1,1
1178398407699959809,0,0,0,0,0,0
1179805949239992321,1,1,0,1,1,1
1177130083322085376,1,1,0,1,1,0
1178959443687399425,1,1,0,0,0,0
1176438363857072130,0,0,0,1,1,0
1177310091600650240,1,1,1,0,0,0
1178928372191305728,0,0,0,0,0,0
1177630907609632769,1,1,0,1,1,1
1177111636567572481,1,1,0,1,1,1
1177215820042313728,1,1,1,1,1,1
1178666385192284168,1,1,0,0,0,0
1178252868807204865,1,1,0,1,1,0
1177159997698007041,1,1,0,1,1,0
1179695602071941121,1,1,1,1,1,1
1178070246063853568,0,0,0,1,1,1
1177891069947764736,1,1,1,1,1,1
1177947084575711232,0,0,0,0,0,0
1179797705721307140,1,1,1,1,1,1
1178929794647543808,1,1,1,1,0,1
1177929134208688130,1,1,0,1,1,0
1177902097930604544,0,0,0,0,0,0
1179700778224816128,1,1,0,1,1,1
1177723306868432901,1,1,1,1,1,1
1177489511950868481,1,1,0,1,1,0
1177613567341801472,1,1,0,1,1,1
1178218897943732226,1,1,1,1,1,1
1177478105155305479,1,1,0,1,1,0
1180024351279779840,1,1,0,1,1,0
1180052139160276992,0,0,0,0,0,0
1178399138582601730,1,1,0,1,1,0
1177190885035036673,1,1,0,1,1,1
1179069113655812102,0,0,0,0,0,0
1177707231745396737,0,0,0,0,0,0
1178944198931824640,1,1,1,1,1,1
1179421661344538625,1,1,0,1,1,1
1178725073420800000,1,1,0,0,0,0
1179726099129012226,1,1,1,1,1,1
1177125724676927490,0,0,0,0,0,0
1179761271358545921,1,1,0,1,1,0
1177298161632763905,1,1,1,1,1,1
1177483189838737410,1,1,1,1,1,1
1177297664129548288,1,1,1,1,1,1
1179742769155313664,0,0,0,0,0,0
1178606811425001473,1,1,1,1,1,0
1179384292176285696,1,1,1,1,1,1
1178353350036873218,1,1,0,1,1,1
1177585752546451456,1,1,0,1,1,0
1177185023579033602,1,1,0,1,1,0
1177855004767641600,1,1,1,1,1,0
1177093464829435904,1,1,0,1,1,1
1179228283650609152,1,1,0,1,1,0
1177910421854011392,1,1,1,1,1,1
1177824386998517761,1,1,0,1,1,0
1178429747849842690,1,1,0,1,1,0
1179321876486725632,1,1,0,1,1,1
1178905064381046784,0,0,0,0,0,0
1178271933835730944,1,1,0,1,1,0
1177175073100390402,1,1,1,1,1,1
1178098196515418113,1,1,0,1,1,0
1178727819490316288,1,1,0,0,0,0
1179502842098409475,1,0,1,1,0,1
1177307356717289473,1,1,0,1,1,1
1177345197904187393,1,1,1,0,0,0
1177681983452958720,1,1,1,1,1,1
1179801986121785349,0,0,0,0,0,0
1178927331605438467,1,1,1,1,1,1
1177591427561381888,1,1,0,1,1,1
1177145077010960384,1,1,1,0,0,0
1177529633207705600,1,1,1,1,1,1
1177174249506779137,1,1,0,1,1,0
1179802162865606665,0,0,0,0,0,0
1178696122849775616,1,1,1,1,1,0
1177366152038801409,1,1,0,1,1,1
1178321526875185155,1,1,1,1,1,1
1177993639403954176,1,1,0,1,1,1
1176250313445191681,1,1,0,1,1,1
1178247026317897729,0,0,0,0,0,0
1179153015011528712,1,1,0,0,0,0
1178372252540256257,1,1,0,1,1,0
1179364916664381440,0,0,0,0,0,0
1179627325320679424,1,1,0,1,1,0
1177517138103296000,1,1,0,1,1,0
1178719830112980997,1,1,1,1,1,0
1179044980029116419,0,0,0,0,0,0
1177107545678340096,1,1,0,1,1,0
1176956708331147267,0,0,0,1,1,0
1179051128350216193,1,1,0,1,1,0
1178184969757380609,1,1,0,0,0,0
1177477175173189636,1,1,1,1,1,1
1177316510420918273,1,1,0,1,1,1
1177210479158157312,1,0,1,1,1,1
1179323052087226368,0,0,0,0,0,0
1178315663766634496,1,1,1,1,1,1
1179145842550284289,1,1,1,1,1,1
1178313706834419714,1,1,1,1,1,1
1178741632847548416,1,1,0,1,1,1
1178010897035476993,1,1,0,1,1,0
1176982419674685440,0,0,0,1,0,1
1178323310867820544,1,1,1,1,1,1
1178663875710984197,1,1,0,1,1,1
1178623148209704965,1,1,0,1,1,0
1179109790397718528,1,1,1,1,1,0
1177138097089339392,1,1,0,1,1,0
1177564440197287937,1,1,1,1,1,1
1179421957944729604,0,0,0,0,0,0
1176979572895731712,1,1,1,1,1,1
1179128320010719232,1,1,0,1,1,1
1179289333662126080,1,1,0,1,1,1
1179383727501299714,1,1,1,1,1,1
1177209158971678720,0,0,0,0,0,0
1177106768620658688,1,1,0,1,1,0
1178046053469315073,0,0,0,1,1,0
1178688298333671425,1,1,1,1,1,0
1179654288613810176,1,1,1,1,1,1
1180155224880766978,1,1,0,1,1,0
1178739119767396354,1,1,0,1,1,1
1177254465310744579,1,1,1,1,1,1
1178177072512016384,1,1,1,1,1,1
1177863138596868096,0,0,0,0,0,0
1178982129834893313,1,1,1,1,1,1
1178324305266057218,1,1,1,1,1,1
1179347532339716096,1,1,0,1,1,0
1178912870249242624,1,1,1,1,1,1
1177306968735846400,1,1,0,1,1,1
1177526478759694336,1,1,0,1,1,0
1179035044750352384,1,1,1,1,1,1
1178364334231228427,1,1,1,1,1,1
1177980048323821569,0,0,0,0,0,0
1177197478770282499,1,1,0,0,0,0
1178662403166425088,1,1,1,1,1,1
1176750562689388545,1,1,0,1,1,0
1179388243290263553,1,1,1,1,1,1
1177024243202220038,0,0,0,1,1,0
1178249097142263809,1,1,0,1,1,0
1178575873563353093,1,1,1,1,1,1
1180083472620240898,1,1,1,1,1,1
1178982874646757376,1,1,0,1,1,1
1176975959821561862,1,1,0,0,0,0
1176560569580756994,1,1,1,1,1,1
1180115037375086592,1,1,0,1,1,0
1178034680911794178,1,1,1,1,1,1
1178757072504143872,1,1,0,1,1,1
1179643096214183936,1,1,0,1,1,0
1177507907350355969,1,1,1,1,1,1
1180030299213828097,1,1,0,1,1,1
1177561807390695424,1,1,1,1,1,1
1179729447487975424,1,1,0,1,1,0
1179644711209963520,1,1,1,1,1,1
1177228525050486785,1,0,1,1,1,1
1177906392084164610,0,0,0,1,1,1
1179408447303032833,1,1,1,1,1,1
1178356206936739840,1,1,1,1,1,1
1177890399060467713,1,1,1,1,1,1
1179090766372712449,1,1,0,1,1,1
1178566608689729536,1,1,1,1,1,1
1177233236763844616,1,1,0,1,1,0
1177230622068264961,1,1,1,1,1,1
1179030593973170177,1,1,0,1,1,1
1177584303343132672,1,1,1,1,1,1
1177165149364506624,1,1,1,1,1,1
1177474128866988037,1,1,1,1,1,1
1179792509427425280,1,1,1,1,1,1
1177967226718183424,1,1,1,1,1,1
1178626257518546945,1,1,0,1,1,0
1177914038925348866,1,1,1,1,1,1
1176936963330465794,1,1,0,1,1,1
1178375671703392256,1,1,1,1,1,1
1178470318106693632,1,0,1,1,1,1
1176829761613697026,1,1,1,1,1,1
1178599032387702784,1,1,1,1,1,1
1177447186193240064,1,1,1,1,1,1
1178349576211832832,1,1,0,1,1,0
1178612577095622662,1,1,1,1,1,0
1177909387903586304,1,1,0,1,1,1
1179512825410142209,1,1,0,1,1,0
